Plant Name,Time,Production (W)
Guillaume,2025-04-22 07:00,0
Guillaume,2025-04-22 07:15,17
Guillaume,2025-04-22 07:30,38
Guillaume,2025-04-22 07:45,55
Guillaume,2025-04-22 08:00,66
Guillaume,2025-04-22 08:15,100
Guillaume,2025-04-22 08:30,120
Guillaume,2025-04-22 08:45,238
Guillaume,2025-04-22 09:00,332
Guillaume,2025-04-22 09:15,225
Guillaume,2025-04-22 09:30,422
Guillaume,2025-04-22 09:45,498
Guillaume,2025-04-22 10:00,286
Guillaume,2025-04-22 10:15,657
Guillaume,2025-04-22 10:30,1025
Guillaume,2025-04-22 10:45,1210
Guillaume,2025-04-22 11:00,549
Guillaume,2025-04-22 11:15,1197
Guillaume,2025-04-22 11:30,381
Guillaume,2025-04-22 11:45,1683
Guillaume,2025-04-22 12:00,770
Guillaume,2025-04-22 12:15,1053
Guillaume,2025-04-22 12:30,527
Guillaume,2025-04-22 12:45,572
Guillaume,2025-04-22 13:00,884
Guillaume,2025-04-22 13:15,628
Guillaume,2025-04-22 13:30,529
Guillaume,2025-04-22 13:45,576
Guillaume,2025-04-22 14:00,1091
Guillaume,2025-04-22 14:15,2153
Guillaume,2025-04-22 14:30,2156
Guillaume,2025-04-22 14:45,733
Guillaume,2025-04-22 15:00,2243
Guillaume,2025-04-22 15:15,2197
Guillaume,2025-04-22 15:30,459
Guillaume,2025-04-22 15:45,577
Guillaume,2025-04-22 16:00,2053
Guillaume,2025-04-22 16:15,1836
Guillaume,2025-04-22 16:30,1691
Guillaume,2025-04-22 16:45,1569
Guillaume,2025-04-22 17:00,1449
Guillaume,2025-04-22 17:15,1357
Guillaume,2025-04-22 17:30,1244
Guillaume,2025-04-22 17:45,1117
Guillaume,2025-04-22 18:00,996
Guillaume,2025-04-22 18:15,879
Guillaume,2025-04-22 18:30,781
Guillaume,2025-04-22 18:45,595
Guillaume,2025-04-22 19:00,502
Guillaume,2025-04-22 19:15,205
Guillaume,2025-04-22 19:30,271
Guillaume,2025-04-22 19:45,159
Guillaume,2025-04-22 20:00,100
Guillaume,2025-04-22 20:15,76
Guillaume,2025-04-22 20:30,44
Guillaume,2025-04-22 20:45,20
Guillaume,2025-04-22 21:00,4
Guillaume,2025-04-22 21:15,0
Guillaume,2025-04-22 21:30,0
