Plant Name,Time,Production (W)
Guillaume,2025-04-17 07:15,0
Guillaume,2025-04-17 07:30,19
Guillaume,2025-04-17 07:45,34
Guillaume,2025-04-17 08:00,61
Guillaume,2025-04-17 08:15,89
Guillaume,2025-04-17 08:30,99
Guillaume,2025-04-17 08:45,155
Guillaume,2025-04-17 09:00,239
Guillaume,2025-04-17 09:15,287
Guillaume,2025-04-17 09:30,340
Guillaume,2025-04-17 09:45,410
Guillaume,2025-04-17 10:00,270
Guillaume,2025-04-17 10:15,453
Guillaume,2025-04-17 10:30,861
Guillaume,2025-04-17 10:45,1619
Guillaume,2025-04-17 11:00,406
Guillaume,2025-04-17 11:15,489
Guillaume,2025-04-17 11:30,396
Guillaume,2025-04-17 11:45,467
Guillaume,2025-04-17 12:00,862
Guillaume,2025-04-17 12:15,682
Guillaume,2025-04-17 12:30,1652
Guillaume,2025-04-17 12:45,1006
Guillaume,2025-04-17 13:00,573
Guillaume,2025-04-17 13:15,345
Guillaume,2025-04-17 13:30,685
Guillaume,2025-04-17 13:45,508
Guillaume,2025-04-17 14:00,347
Guillaume,2025-04-17 14:15,548
Guillaume,2025-04-17 14:30,1306
Guillaume,2025-04-17 14:45,1758
Guillaume,2025-04-17 15:00,365
Guillaume,2025-04-17 15:15,640
Guillaume,2025-04-17 15:30,2243
Guillaume,2025-04-17 15:45,1836
Guillaume,2025-04-17 16:00,923
Guillaume,2025-04-17 16:15,1629
Guillaume,2025-04-17 16:30,935
Guillaume,2025-04-17 16:45,1434
Guillaume,2025-04-17 17:00,479
Guillaume,2025-04-17 17:15,1446
Guillaume,2025-04-17 17:30,469
Guillaume,2025-04-17 17:45,465
Guillaume,2025-04-17 18:00,861
Guillaume,2025-04-17 18:15,587
Guillaume,2025-04-17 18:30,1057
Guillaume,2025-04-17 18:45,709
Guillaume,2025-04-17 19:00,498
Guillaume,2025-04-17 19:15,149
Guillaume,2025-04-17 19:30,204
Guillaume,2025-04-17 19:45,169
Guillaume,2025-04-17 20:00,128
Guillaume,2025-04-17 20:15,104
Guillaume,2025-04-17 20:30,51
Guillaume,2025-04-17 20:45,14
Guillaume,2025-04-17 21:00,3
Guillaume,2025-04-17 21:15,0
Guillaume,2025-04-17 21:30,0
