Plant Name,Time,Production (W)
Guillaume,2025-05-21 06:30,3
Guillaume,2025-05-21 06:45,18
Guillaume,2025-05-21 07:00,41
Guillaume,2025-05-21 07:15,54
Guillaume,2025-05-21 07:30,67
Guillaume,2025-05-21 07:45,96
Guillaume,2025-05-21 08:00,119
Guillaume,2025-05-21 08:15,131
Guillaume,2025-05-21 08:30,186
Guillaume,2025-05-21 08:45,228
Guillaume,2025-05-21 09:00,187
Guillaume,2025-05-21 09:15,220
Guillaume,2025-05-21 09:30,169
Guillaume,2025-05-21 09:45,179
Guillaume,2025-05-21 10:00,209
Guillaume,2025-05-21 10:15,241
Guillaume,2025-05-21 10:30,351
Guillaume,2025-05-21 10:45,359
Guillaume,2025-05-21 11:00,303
Guillaume,2025-05-21 11:15,270
Guillaume,2025-05-21 11:30,220
Guillaume,2025-05-21 11:45,321
Guillaume,2025-05-21 12:00,382
Guillaume,2025-05-21 12:15,308
Guillaume,2025-05-21 12:30,252
Guillaume,2025-05-21 12:45,442
Guillaume,2025-05-21 13:00,383
Guillaume,2025-05-21 13:15,491
Guillaume,2025-05-21 13:30,610
Guillaume,2025-05-21 13:45,758
Guillaume,2025-05-21 14:00,782
Guillaume,2025-05-21 14:15,688
Guillaume,2025-05-21 14:30,718
Guillaume,2025-05-21 14:45,620
Guillaume,2025-05-21 15:00,183
Guillaume,2025-05-21 15:15,264
Guillaume,2025-05-21 15:30,418
Guillaume,2025-05-21 15:45,135
Guillaume,2025-05-21 16:00,201
Guillaume,2025-05-21 16:15,534
Guillaume,2025-05-21 16:30,572
Guillaume,2025-05-21 16:45,415
Guillaume,2025-05-21 17:00,467
Guillaume,2025-05-21 17:15,415
Guillaume,2025-05-21 17:30,671
Guillaume,2025-05-21 17:45,914
Guillaume,2025-05-21 18:00,394
Guillaume,2025-05-21 18:15,699
Guillaume,2025-05-21 18:30,800
Guillaume,2025-05-21 18:45,263
Guillaume,2025-05-21 19:00,332
Guillaume,2025-05-21 19:15,192
Guillaume,2025-05-21 19:30,107
Guillaume,2025-05-21 19:45,174
Guillaume,2025-05-21 20:00,97
Guillaume,2025-05-21 20:15,123
Guillaume,2025-05-21 20:30,45
Guillaume,2025-05-21 20:45,43
Guillaume,2025-05-21 21:00,22
Guillaume,2025-05-21 21:15,9
Guillaume,2025-05-21 21:30,6
Guillaume,2025-05-21 21:45,0
Guillaume,2025-05-21 22:00,0
Guillaume,2025-05-21 22:15,0
