Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Guillaume,2025-08-03 00:00,0,0
Guillaume,2025-08-03 01:00,0,0
Guillaume,2025-08-03 02:00,0,0
Guillaume,2025-08-03 03:00,0,0
Guillaume,2025-08-03 04:00,0,0
Guillaume,2025-08-03 05:00,0,0
Guillaume,2025-08-03 06:00,0,0
Guillaume,2025-08-03 07:00,0,0
Guillaume,2025-08-03 08:00,81,0
Guillaume,2025-08-03 08:15,88,0
Guillaume,2025-08-03 08:30,119,0
Guillaume,2025-08-03 08:45,218,0
Guillaume,2025-08-03 09:00,399,0
Guillaume,2025-08-03 09:15,412,0
Guillaume,2025-08-03 09:30,634,0
Guillaume,2025-08-03 09:45,801,0
Guillaume,2025-08-03 10:00,916,0
Guillaume,2025-08-03 10:15,854,0
Guillaume,2025-08-03 10:30,957,0
Guillaume,2025-08-03 10:45,1293,0
Guillaume,2025-08-03 11:00,1219,0
Guillaume,2025-08-03 11:15,1403,0
Guillaume,2025-08-03 11:30,1444,0
Guillaume,2025-08-03 11:45,1535,0
Guillaume,2025-08-03 12:00,1587,0
Guillaume,2025-08-03 12:15,1590,0
Guillaume,2025-08-03 12:30,1621,0
Guillaume,2025-08-03 12:45,1663,0
Guillaume,2025-08-03 13:00,1701,0
Guillaume,2025-08-03 13:15,1767,0
Guillaume,2025-08-03 13:30,1005,0
Guillaume,2025-08-03 13:45,1800,0
Guillaume,2025-08-03 14:00,1843,0
Guillaume,2025-08-03 14:15,1816,0
Guillaume,2025-08-03 14:30,1786,0
Guillaume,2025-08-03 14:45,1749,0
Guillaume,2025-08-03 15:00,1710,0
Guillaume,2025-08-03 15:15,1605,0
Guillaume,2025-08-03 15:30,1676,0
Guillaume,2025-08-03 15:45,1619,0
Guillaume,2025-08-03 16:00,1553,0
Guillaume,2025-08-03 16:15,778,0
Guillaume,2025-08-03 16:30,1337,0
Guillaume,2025-08-03 16:45,848,0
Guillaume,2025-08-03 17:00,1394,0
Guillaume,2025-08-03 17:15,1100,0
Guillaume,2025-08-03 17:30,1108,0
Guillaume,2025-08-03 17:45,988,0
Guillaume,2025-08-03 18:00,850,0
Guillaume,2025-08-03 18:15,795,0
Guillaume,2025-08-03 18:30,665,0
Guillaume,2025-08-03 18:45,505,0
Guillaume,2025-08-03 19:00,454,0
Guillaume,2025-08-03 19:15,344,0
Guillaume,2025-08-03 19:30,241,0
Guillaume,2025-08-03 19:45,138,0
Guillaume,2025-08-03 20:00,75,0
Guillaume,2025-08-03 20:15,89,0
Guillaume,2025-08-03 20:30,115,0
Guillaume,2025-08-03 20:45,70,0
Guillaume,2025-08-03 21:00,43,0
Guillaume,2025-08-03 21:15,13,0
Guillaume,2025-08-03 22:15,0,0
Guillaume,2025-08-03 23:15,0,0
