Plant Name,Time,Production (W)
Guillaume,2025-05-15 06:30,4
Guillaume,2025-05-15 06:45,16
Guillaume,2025-05-15 07:00,32
Guillaume,2025-05-15 07:15,48
Guillaume,2025-05-15 07:30,61
Guillaume,2025-05-15 07:45,79
Guillaume,2025-05-15 08:00,118
Guillaume,2025-05-15 08:15,116
Guillaume,2025-05-15 08:30,135
Guillaume,2025-05-15 08:45,208
Guillaume,2025-05-15 09:00,423
Guillaume,2025-05-15 09:15,538
Guillaume,2025-05-15 09:30,659
Guillaume,2025-05-15 09:45,799
Guillaume,2025-05-15 10:00,928
Guillaume,2025-05-15 10:15,1047
Guillaume,2025-05-15 10:30,1146
Guillaume,2025-05-15 10:45,1251
Guillaume,2025-05-15 11:00,1346
Guillaume,2025-05-15 11:15,1430
Guillaume,2025-05-15 11:30,1512
Guillaume,2025-05-15 11:45,1593
Guillaume,2025-05-15 12:00,1661
Guillaume,2025-05-15 12:15,1708
Guillaume,2025-05-15 12:30,1770
Guillaume,2025-05-15 12:45,1814
Guillaume,2025-05-15 13:00,1859
Guillaume,2025-05-15 13:15,1887
Guillaume,2025-05-15 13:30,1885
Guillaume,2025-05-15 13:45,1900
Guillaume,2025-05-15 14:00,1894
Guillaume,2025-05-15 14:15,1903
Guillaume,2025-05-15 14:30,1871
Guillaume,2025-05-15 14:45,1875
Guillaume,2025-05-15 15:00,1857
Guillaume,2025-05-15 15:15,1811
Guillaume,2025-05-15 15:30,1766
Guillaume,2025-05-15 15:45,0
Guillaume,2025-05-15 16:00,257
Guillaume,2025-05-15 16:15,1604
Guillaume,2025-05-15 16:30,1518
Guillaume,2025-05-15 16:45,1450
Guillaume,2025-05-15 17:00,1369
Guillaume,2025-05-15 17:15,1276
Guillaume,2025-05-15 17:30,1180
Guillaume,2025-05-15 17:45,1078
Guillaume,2025-05-15 18:00,970
Guillaume,2025-05-15 18:15,853
Guillaume,2025-05-15 18:30,701
Guillaume,2025-05-15 18:45,636
Guillaume,2025-05-15 19:00,460
Guillaume,2025-05-15 19:15,338
Guillaume,2025-05-15 19:30,310
Guillaume,2025-05-15 19:45,186
Guillaume,2025-05-15 20:00,121
Guillaume,2025-05-15 20:15,92
Guillaume,2025-05-15 20:30,95
Guillaume,2025-05-15 20:45,59
Guillaume,2025-05-15 21:00,49
Guillaume,2025-05-15 21:15,25
Guillaume,2025-05-15 21:30,8
Guillaume,2025-05-15 21:45,0
Guillaume,2025-05-15 22:00,0
Guillaume,2025-05-15 22:15,0
