Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Guillaume,2025-06-01 00:00,0,0
Guillaume,2025-06-01 01:00,0,0
Guillaume,2025-06-01 02:00,0,0
Guillaume,2025-06-01 03:00,0,0
Guillaume,2025-06-01 04:00,0,0
Guillaume,2025-06-01 05:00,0,0
Guillaume,2025-06-01 06:00,0,0
Guillaume,2025-06-01 07:00,0,0
Guillaume,2025-06-01 08:00,0,0
Guillaume,2025-06-01 09:00,0,0
Guillaume,2025-06-01 10:00,0,0
Guillaume,2025-06-01 11:00,0,0
Guillaume,2025-06-01 12:00,0,0
Guillaume,2025-06-01 13:00,423,0
Guillaume,2025-06-01 13:15,430,0
Guillaume,2025-06-01 13:30,461,0
Guillaume,2025-06-01 13:45,437,0
Guillaume,2025-06-01 14:00,934,0
Guillaume,2025-06-01 14:15,665,0
Guillaume,2025-06-01 14:30,513,0
Guillaume,2025-06-01 14:45,545,0
Guillaume,2025-06-01 15:00,836,0
Guillaume,2025-06-01 15:15,847,0
Guillaume,2025-06-01 15:30,1045,0
Guillaume,2025-06-01 15:45,1160,0
Guillaume,2025-06-01 16:00,1263,0
Guillaume,2025-06-01 16:15,846,0
Guillaume,2025-06-01 16:30,1172,0
Guillaume,2025-06-01 16:45,931,0
Guillaume,2025-06-01 17:00,1066,0
Guillaume,2025-06-01 18:00,0,0
Guillaume,2025-06-01 18:15,715,0
Guillaume,2025-06-01 18:30,594,0
Guillaume,2025-06-01 18:45,549,0
Guillaume,2025-06-01 19:00,345,0
Guillaume,2025-06-01 19:15,365,0
Guillaume,2025-06-01 19:30,299,0
Guillaume,2025-06-01 19:45,168,0
Guillaume,2025-06-01 20:00,160,0
Guillaume,2025-06-01 20:15,58,0
Guillaume,2025-06-01 20:30,44,0
Guillaume,2025-06-01 20:45,29,0
Guillaume,2025-06-01 21:00,22,0
Guillaume,2025-06-01 21:15,14,0
Guillaume,2025-06-01 21:30,14,0
Guillaume,2025-06-01 22:30,0,0
Guillaume,2025-06-01 23:30,0,0
