Plant Name,Time,Production (W)
Guillaume,2025-08-28 07:15,0
Guillaume,2025-08-28 07:30,13
Guillaume,2025-08-28 07:45,26
Guillaume,2025-08-28 08:00,41
Guillaume,2025-08-28 08:15,54
Guillaume,2025-08-28 08:30,66
Guillaume,2025-08-28 08:45,82
Guillaume,2025-08-28 09:00,95
Guillaume,2025-08-28 09:15,213
Guillaume,2025-08-28 09:30,226
Guillaume,2025-08-28 09:45,182
Guillaume,2025-08-28 10:00,243
Guillaume,2025-08-28 10:15,528
Guillaume,2025-08-28 10:30,1167
Guillaume,2025-08-28 10:45,1331
Guillaume,2025-08-28 11:00,837
Guillaume,2025-08-28 11:15,597
Guillaume,2025-08-28 11:30,272
Guillaume,2025-08-28 11:45,390
Guillaume,2025-08-28 12:00,960
Guillaume,2025-08-28 12:15,560
Guillaume,2025-08-28 12:30,662
Guillaume,2025-08-28 12:45,2029
Guillaume,2025-08-28 13:00,2037
Guillaume,2025-08-28 13:15,444
Guillaume,2025-08-28 13:30,1957
Guillaume,2025-08-28 13:45,441
Guillaume,2025-08-28 14:00,852
Guillaume,2025-08-28 14:15,535
Guillaume,2025-08-28 14:30,725
Guillaume,2025-08-28 14:45,1815
Guillaume,2025-08-28 15:00,1720
Guillaume,2025-08-28 15:15,1687
Guillaume,2025-08-28 15:30,513
Guillaume,2025-08-28 15:45,1431
Guillaume,2025-08-28 16:00,1406
Guillaume,2025-08-28 16:15,1203
Guillaume,2025-08-28 16:30,355
Guillaume,2025-08-28 16:45,256
Guillaume,2025-08-28 17:00,556
Guillaume,2025-08-28 17:15,177
Guillaume,2025-08-28 17:30,170
Guillaume,2025-08-28 17:45,333
Guillaume,2025-08-28 18:00,238
Guillaume,2025-08-28 18:15,135
Guillaume,2025-08-28 18:30,41
Guillaume,2025-08-28 18:45,29
Guillaume,2025-08-28 19:00,3
Guillaume,2025-08-28 19:15,0
Guillaume,2025-08-28 19:30,0
