Plant Name,Time,Production (W)
Guillaume,2025-03-31 07:45,4
Guillaume,2025-03-31 08:00,20
Guillaume,2025-03-31 08:15,40
Guillaume,2025-03-31 08:30,43
Guillaume,2025-03-31 08:45,103
Guillaume,2025-03-31 09:00,122
Guillaume,2025-03-31 09:15,182
Guillaume,2025-03-31 09:30,184
Guillaume,2025-03-31 09:45,177
Guillaume,2025-03-31 10:00,234
Guillaume,2025-03-31 10:15,244
Guillaume,2025-03-31 10:30,280
Guillaume,2025-03-31 10:45,406
Guillaume,2025-03-31 11:00,598
Guillaume,2025-03-31 11:15,659
Guillaume,2025-03-31 11:30,839
Guillaume,2025-03-31 11:45,521
Guillaume,2025-03-31 12:00,1854
Guillaume,2025-03-31 12:15,1821
Guillaume,2025-03-31 12:30,1825
Guillaume,2025-03-31 12:45,1846
Guillaume,2025-03-31 13:00,1891
Guillaume,2025-03-31 13:15,1910
Guillaume,2025-03-31 13:30,1934
Guillaume,2025-03-31 13:45,1957
Guillaume,2025-03-31 14:00,1952
Guillaume,2025-03-31 14:15,1942
Guillaume,2025-03-31 14:30,1921
Guillaume,2025-03-31 14:45,463
Guillaume,2025-03-31 15:00,2013
Guillaume,2025-03-31 15:15,1936
Guillaume,2025-03-31 15:30,1827
Guillaume,2025-03-31 15:45,1777
Guillaume,2025-03-31 16:00,1732
Guillaume,2025-03-31 16:15,1651
Guillaume,2025-03-31 16:30,1574
Guillaume,2025-03-31 16:45,1487
Guillaume,2025-03-31 17:00,1397
Guillaume,2025-03-31 17:15,1302
Guillaume,2025-03-31 17:30,1175
Guillaume,2025-03-31 17:45,1089
Guillaume,2025-03-31 18:00,964
Guillaume,2025-03-31 18:15,837
Guillaume,2025-03-31 18:30,710
Guillaume,2025-03-31 18:45,569
Guillaume,2025-03-31 19:00,435
Guillaume,2025-03-31 19:15,308
Guillaume,2025-03-31 19:30,199
Guillaume,2025-03-31 19:45,113
Guillaume,2025-03-31 20:00,60
Guillaume,2025-03-31 20:15,31
Guillaume,2025-03-31 20:30,10
Guillaume,2025-03-31 20:45,0
Guillaume,2025-03-31 21:00,0
Guillaume,2025-03-31 21:15,0
