Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Guillaume,2025-08-13 00:00,0,0
Guillaume,2025-08-13 01:00,0,0
Guillaume,2025-08-13 02:00,0,0
Guillaume,2025-08-13 03:00,0,0
Guillaume,2025-08-13 04:00,0,0
Guillaume,2025-08-13 05:00,0,0
Guillaume,2025-08-13 06:00,0,0
Guillaume,2025-08-13 07:00,0,0
Guillaume,2025-08-13 07:30,18,0
Guillaume,2025-08-13 07:45,40,0
Guillaume,2025-08-13 08:00,46,0
Guillaume,2025-08-13 08:15,71,0
Guillaume,2025-08-13 08:30,102,0
Guillaume,2025-08-13 08:45,132,0
Guillaume,2025-08-13 09:00,139,0
Guillaume,2025-08-13 09:15,137,0
Guillaume,2025-08-13 09:30,235,0
Guillaume,2025-08-13 09:45,244,0
Guillaume,2025-08-13 10:00,169,0
Guillaume,2025-08-13 10:15,130,0
Guillaume,2025-08-13 10:30,148,0
Guillaume,2025-08-13 10:45,103,0
Guillaume,2025-08-13 11:00,72,0
Guillaume,2025-08-13 11:15,68,0
Guillaume,2025-08-13 11:30,151,0
Guillaume,2025-08-13 11:45,364,0
Guillaume,2025-08-13 12:00,332,0
Guillaume,2025-08-13 12:15,424,0
Guillaume,2025-08-13 12:30,347,0
Guillaume,2025-08-13 12:45,243,0
Guillaume,2025-08-13 13:00,159,0
Guillaume,2025-08-13 13:15,146,0
Guillaume,2025-08-13 13:30,109,0
Guillaume,2025-08-13 13:45,317,0
Guillaume,2025-08-13 14:00,382,0
Guillaume,2025-08-13 14:15,290,0
Guillaume,2025-08-13 14:30,345,0
Guillaume,2025-08-13 14:45,418,0
Guillaume,2025-08-13 15:00,243,0
Guillaume,2025-08-13 15:15,165,0
Guillaume,2025-08-13 15:30,381,0
Guillaume,2025-08-13 15:45,638,0
Guillaume,2025-08-13 16:00,346,0
Guillaume,2025-08-13 16:15,479,0
Guillaume,2025-08-13 16:30,990,0
Guillaume,2025-08-13 16:45,826,0
Guillaume,2025-08-13 17:00,621,0
Guillaume,2025-08-13 17:15,631,0
Guillaume,2025-08-13 17:30,533,0
Guillaume,2025-08-13 17:45,809,0
Guillaume,2025-08-13 18:00,964,0
Guillaume,2025-08-13 18:15,814,0
Guillaume,2025-08-13 18:30,636,0
Guillaume,2025-08-13 18:45,498,0
Guillaume,2025-08-13 19:00,429,0
Guillaume,2025-08-13 19:15,297,0
Guillaume,2025-08-13 19:30,272,0
Guillaume,2025-08-13 19:45,193,0
Guillaume,2025-08-13 20:00,147,0
Guillaume,2025-08-13 20:15,107,0
Guillaume,2025-08-13 20:30,73,0
Guillaume,2025-08-13 20:45,45,0
Guillaume,2025-08-13 21:00,24,0
Guillaume,2025-08-13 21:15,8,0
Guillaume,2025-08-13 22:15,0,0
Guillaume,2025-08-13 23:15,0,0
