Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Guillaume,2025-06-04 00:00,0,0
Guillaume,2025-06-04 01:00,0,0
Guillaume,2025-06-04 02:00,0,0
Guillaume,2025-06-04 03:00,0,0
Guillaume,2025-06-04 04:00,0,0
Guillaume,2025-06-04 05:00,0,0
Guillaume,2025-06-04 06:00,0,0
Guillaume,2025-06-04 06:15,3,0
Guillaume,2025-06-04 06:30,19,0
Guillaume,2025-06-04 06:45,46,0
Guillaume,2025-06-04 07:00,79,0
Guillaume,2025-06-04 07:15,98,0
Guillaume,2025-06-04 07:30,133,0
Guillaume,2025-06-04 07:45,163,0
Guillaume,2025-06-04 08:00,206,0
Guillaume,2025-06-04 08:15,161,0
Guillaume,2025-06-04 08:30,225,0
Guillaume,2025-06-04 08:45,262,0
Guillaume,2025-06-04 09:00,338,0
Guillaume,2025-06-04 09:15,556,0
Guillaume,2025-06-04 09:30,414,0
Guillaume,2025-06-04 09:45,551,0
Guillaume,2025-06-04 10:00,665,0
Guillaume,2025-06-04 10:15,610,0
Guillaume,2025-06-04 10:30,1056,0
Guillaume,2025-06-04 10:45,494,0
Guillaume,2025-06-04 11:00,466,0
Guillaume,2025-06-04 11:15,1611,0
Guillaume,2025-06-04 11:30,537,0
Guillaume,2025-06-04 11:45,1666,0
Guillaume,2025-06-04 12:00,2157,0
Guillaume,2025-06-04 12:15,678,0
Guillaume,2025-06-04 12:30,507,0
Guillaume,2025-06-04 12:45,1895,0
Guillaume,2025-06-04 13:00,225,0
Guillaume,2025-06-04 13:15,812,0
Guillaume,2025-06-04 13:30,850,0
Guillaume,2025-06-04 13:45,779,0
Guillaume,2025-06-04 14:00,892,0
Guillaume,2025-06-04 14:15,1020,0
Guillaume,2025-06-04 14:30,805,0
Guillaume,2025-06-04 14:45,1185,0
Guillaume,2025-06-04 15:00,937,0
Guillaume,2025-06-04 15:15,1057,0
Guillaume,2025-06-04 15:30,640,0
Guillaume,2025-06-04 15:45,989,0
Guillaume,2025-06-04 16:00,1159,0
Guillaume,2025-06-04 16:15,665,0
Guillaume,2025-06-04 16:30,579,0
Guillaume,2025-06-04 16:45,1749,0
Guillaume,2025-06-04 17:00,595,0
Guillaume,2025-06-04 17:15,610,0
Guillaume,2025-06-04 17:30,1192,0
Guillaume,2025-06-04 17:45,552,0
Guillaume,2025-06-04 18:00,891,0
Guillaume,2025-06-04 18:15,702,0
Guillaume,2025-06-04 18:30,467,0
Guillaume,2025-06-04 18:45,504,0
Guillaume,2025-06-04 19:00,331,0
Guillaume,2025-06-04 19:15,278,0
Guillaume,2025-06-04 19:30,283,0
Guillaume,2025-06-04 19:45,207,0
Guillaume,2025-06-04 20:00,169,0
Guillaume,2025-06-04 20:15,144,0
Guillaume,2025-06-04 20:30,122,0
Guillaume,2025-06-04 20:45,66,0
Guillaume,2025-06-04 21:00,58,0
Guillaume,2025-06-04 21:15,30,0
Guillaume,2025-06-04 21:30,18,0
Guillaume,2025-06-04 21:45,8,0
Guillaume,2025-06-04 22:45,0,0
Guillaume,2025-06-04 23:45,0,0
