Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Guillaume,2025-08-15 00:00,0,0
Guillaume,2025-08-15 01:00,0,0
Guillaume,2025-08-15 02:00,0,0
Guillaume,2025-08-15 03:00,0,0
Guillaume,2025-08-15 04:00,0,0
Guillaume,2025-08-15 05:00,0,0
Guillaume,2025-08-15 06:00,0,0
Guillaume,2025-08-15 07:00,12,0
Guillaume,2025-08-15 07:15,25,0
Guillaume,2025-08-15 07:30,42,0
Guillaume,2025-08-15 07:45,60,0
Guillaume,2025-08-15 08:00,77,0
Guillaume,2025-08-15 08:15,109,0
Guillaume,2025-08-15 08:30,205,0
Guillaume,2025-08-15 08:45,283,0
Guillaume,2025-08-15 09:00,373,0
Guillaume,2025-08-15 09:15,522,0
Guillaume,2025-08-15 09:30,508,0
Guillaume,2025-08-15 09:45,860,0
Guillaume,2025-08-15 10:00,999,0
Guillaume,2025-08-15 10:15,1087,0
Guillaume,2025-08-15 10:30,1164,0
Guillaume,2025-08-15 10:45,1245,0
Guillaume,2025-08-15 11:00,1319,0
Guillaume,2025-08-15 11:15,1443,0
Guillaume,2025-08-15 11:30,1496,0
Guillaume,2025-08-15 11:45,1548,0
Guillaume,2025-08-15 12:00,1570,0
Guillaume,2025-08-15 12:15,1637,0
Guillaume,2025-08-15 12:30,1547,0
Guillaume,2025-08-15 12:45,1590,0
Guillaume,2025-08-15 13:00,1559,0
Guillaume,2025-08-15 13:15,1423,0
Guillaume,2025-08-15 13:30,1296,0
Guillaume,2025-08-15 13:45,1259,0
Guillaume,2025-08-15 14:00,1037,0
Guillaume,2025-08-15 14:15,1087,0
Guillaume,2025-08-15 14:30,1018,0
Guillaume,2025-08-15 14:45,1045,0
Guillaume,2025-08-15 15:00,992,0
Guillaume,2025-08-15 15:15,846,0
Guillaume,2025-08-15 15:30,698,0
Guillaume,2025-08-15 15:45,502,0
Guillaume,2025-08-15 16:00,662,0
Guillaume,2025-08-15 16:15,565,0
Guillaume,2025-08-15 16:30,545,0
Guillaume,2025-08-15 16:45,473,0
Guillaume,2025-08-15 17:00,376,0
Guillaume,2025-08-15 17:15,260,0
Guillaume,2025-08-15 17:30,203,0
Guillaume,2025-08-15 17:45,155,0
Guillaume,2025-08-15 18:00,120,0
Guillaume,2025-08-15 18:15,79,0
Guillaume,2025-08-15 18:30,56,0
Guillaume,2025-08-15 18:45,18,0
Guillaume,2025-08-15 19:00,3,0
Guillaume,2025-08-15 20:00,0,0
Guillaume,2025-08-15 21:00,0,0
Guillaume,2025-08-15 22:00,0,0
Guillaume,2025-08-15 23:00,0,0
