Plant Name,Time,Production (W)
Guillaume,2025-04-13 07:30,4
Guillaume,2025-04-13 07:45,21
Guillaume,2025-04-13 08:00,30
Guillaume,2025-04-13 08:15,77
Guillaume,2025-04-13 08:30,113
Guillaume,2025-04-13 08:45,173
Guillaume,2025-04-13 09:00,225
Guillaume,2025-04-13 09:15,255
Guillaume,2025-04-13 09:30,327
Guillaume,2025-04-13 09:45,377
Guillaume,2025-04-13 10:00,340
Guillaume,2025-04-13 10:15,657
Guillaume,2025-04-13 10:30,554
Guillaume,2025-04-13 10:45,654
Guillaume,2025-04-13 11:00,723
Guillaume,2025-04-13 11:15,653
Guillaume,2025-04-13 11:30,1655
Guillaume,2025-04-13 11:45,1650
Guillaume,2025-04-13 12:00,1441
Guillaume,2025-04-13 12:15,1439
Guillaume,2025-04-13 12:30,793
Guillaume,2025-04-13 12:45,429
Guillaume,2025-04-13 13:00,353
Guillaume,2025-04-13 13:15,415
Guillaume,2025-04-13 13:30,810
Guillaume,2025-04-13 13:45,2244
Guillaume,2025-04-13 14:00,1011
Guillaume,2025-04-13 14:15,599
Guillaume,2025-04-13 14:30,195
Guillaume,2025-04-13 14:45,733
Guillaume,2025-04-13 15:00,1815
Guillaume,2025-04-13 15:15,1913
Guillaume,2025-04-13 15:30,798
Guillaume,2025-04-13 15:45,637
Guillaume,2025-04-13 16:00,434
Guillaume,2025-04-13 16:15,667
Guillaume,2025-04-13 16:30,879
Guillaume,2025-04-13 16:45,697
Guillaume,2025-04-13 17:00,507
Guillaume,2025-04-13 17:15,593
Guillaume,2025-04-13 17:30,1445
Guillaume,2025-04-13 17:45,1317
Guillaume,2025-04-13 18:00,345
Guillaume,2025-04-13 18:15,396
Guillaume,2025-04-13 18:30,354
Guillaume,2025-04-13 18:45,252
Guillaume,2025-04-13 19:00,206
Guillaume,2025-04-13 19:15,102
Guillaume,2025-04-13 19:30,107
Guillaume,2025-04-13 19:45,42
Guillaume,2025-04-13 20:00,44
Guillaume,2025-04-13 20:15,40
Guillaume,2025-04-13 20:30,22
Guillaume,2025-04-13 20:45,10
Guillaume,2025-04-13 21:00,0
Guillaume,2025-04-13 21:15,0
Guillaume,2025-04-13 21:30,0
