Plant Name,Time,Production (W)
Guillaume,2025-04-15 07:15,0
Guillaume,2025-04-15 07:30,8
Guillaume,2025-04-15 07:45,9
Guillaume,2025-04-15 08:00,21
Guillaume,2025-04-15 08:15,49
Guillaume,2025-04-15 08:30,121
Guillaume,2025-04-15 08:45,146
Guillaume,2025-04-15 09:00,77
Guillaume,2025-04-15 09:15,183
Guillaume,2025-04-15 09:30,113
Guillaume,2025-04-15 09:45,168
Guillaume,2025-04-15 10:00,227
Guillaume,2025-04-15 10:15,247
Guillaume,2025-04-15 10:30,181
Guillaume,2025-04-15 10:45,196
Guillaume,2025-04-15 11:00,263
Guillaume,2025-04-15 11:15,185
Guillaume,2025-04-15 11:30,455
Guillaume,2025-04-15 11:45,483
Guillaume,2025-04-15 12:00,539
Guillaume,2025-04-15 12:15,415
Guillaume,2025-04-15 12:30,2234
Guillaume,2025-04-15 12:45,1207
Guillaume,2025-04-15 13:00,961
Guillaume,2025-04-15 13:15,219
Guillaume,2025-04-15 13:30,722
Guillaume,2025-04-15 13:45,765
Guillaume,2025-04-15 14:00,682
Guillaume,2025-04-15 14:15,715
Guillaume,2025-04-15 14:30,989
Guillaume,2025-04-15 14:45,2244
Guillaume,2025-04-15 15:00,420
Guillaume,2025-04-15 15:15,272
Guillaume,2025-04-15 15:30,298
Guillaume,2025-04-15 15:45,328
Guillaume,2025-04-15 16:00,499
Guillaume,2025-04-15 16:15,368
Guillaume,2025-04-15 16:30,378
Guillaume,2025-04-15 16:45,465
Guillaume,2025-04-15 17:00,287
Guillaume,2025-04-15 17:15,281
Guillaume,2025-04-15 17:30,451
Guillaume,2025-04-15 17:45,232
Guillaume,2025-04-15 18:00,453
Guillaume,2025-04-15 18:15,991
Guillaume,2025-04-15 18:30,262
Guillaume,2025-04-15 18:45,300
Guillaume,2025-04-15 19:00,727
Guillaume,2025-04-15 19:15,188
Guillaume,2025-04-15 19:30,183
Guillaume,2025-04-15 19:45,172
Guillaume,2025-04-15 20:00,144
Guillaume,2025-04-15 20:15,72
Guillaume,2025-04-15 20:30,48
Guillaume,2025-04-15 20:45,15
Guillaume,2025-04-15 21:00,0
Guillaume,2025-04-15 21:15,0
Guillaume,2025-04-15 21:30,0
