Plant Name,Time,Production (W)
Guillaume,2025-05-20 06:15,0
Guillaume,2025-05-20 06:30,11
Guillaume,2025-05-20 06:45,19
Guillaume,2025-05-20 07:00,42
Guillaume,2025-05-20 07:15,61
Guillaume,2025-05-20 07:30,87
Guillaume,2025-05-20 07:45,127
Guillaume,2025-05-20 08:00,146
Guillaume,2025-05-20 08:15,168
Guillaume,2025-05-20 08:30,213
Guillaume,2025-05-20 08:45,261
Guillaume,2025-05-20 09:00,317
Guillaume,2025-05-20 09:15,519
Guillaume,2025-05-20 09:30,557
Guillaume,2025-05-20 09:45,537
Guillaume,2025-05-20 10:00,845
Guillaume,2025-05-20 10:15,1088
Guillaume,2025-05-20 10:30,974
Guillaume,2025-05-20 10:45,1222
Guillaume,2025-05-20 11:00,1213
Guillaume,2025-05-20 11:15,1435
Guillaume,2025-05-20 11:30,1473
Guillaume,2025-05-20 11:45,1523
Guillaume,2025-05-20 12:00,1610
Guillaume,2025-05-20 12:15,1662
Guillaume,2025-05-20 12:30,1762
Guillaume,2025-05-20 12:45,1709
Guillaume,2025-05-20 13:00,1854
Guillaume,2025-05-20 13:15,1661
Guillaume,2025-05-20 13:30,1560
Guillaume,2025-05-20 13:45,1825
Guillaume,2025-05-20 14:00,1855
Guillaume,2025-05-20 14:15,1643
Guillaume,2025-05-20 14:30,1624
Guillaume,2025-05-20 14:45,1767
Guillaume,2025-05-20 15:00,1635
Guillaume,2025-05-20 15:15,1710
Guillaume,2025-05-20 15:30,1027
Guillaume,2025-05-20 15:45,1578
Guillaume,2025-05-20 16:00,565
Guillaume,2025-05-20 16:15,1581
Guillaume,2025-05-20 16:30,1548
Guillaume,2025-05-20 16:45,1449
Guillaume,2025-05-20 17:00,1249
Guillaume,2025-05-20 17:15,1191
Guillaume,2025-05-20 17:30,1164
Guillaume,2025-05-20 17:45,1030
Guillaume,2025-05-20 18:00,915
Guillaume,2025-05-20 18:15,807
Guillaume,2025-05-20 18:30,697
Guillaume,2025-05-20 18:45,585
Guillaume,2025-05-20 19:00,429
Guillaume,2025-05-20 19:15,342
Guillaume,2025-05-20 19:30,186
Guillaume,2025-05-20 19:45,183
Guillaume,2025-05-20 20:00,161
Guillaume,2025-05-20 20:15,89
Guillaume,2025-05-20 20:30,81
Guillaume,2025-05-20 20:45,75
Guillaume,2025-05-20 21:00,43
Guillaume,2025-05-20 21:15,23
Guillaume,2025-05-20 21:30,8
Guillaume,2025-05-20 21:45,0
Guillaume,2025-05-20 22:00,0
Guillaume,2025-05-20 22:15,0
