Plant Name,Time,Production (W)
Guillaume,2025-04-30 06:45,0
Guillaume,2025-04-30 07:00,12
Guillaume,2025-04-30 07:15,24
Guillaume,2025-04-30 07:30,37
Guillaume,2025-04-30 07:45,49
Guillaume,2025-04-30 08:00,60
Guillaume,2025-04-30 08:15,71
Guillaume,2025-04-30 08:30,90
Guillaume,2025-04-30 08:45,129
Guillaume,2025-04-30 09:00,319
Guillaume,2025-04-30 09:15,442
Guillaume,2025-04-30 09:30,620
Guillaume,2025-04-30 09:45,743
Guillaume,2025-04-30 10:00,686
Guillaume,2025-04-30 10:15,949
Guillaume,2025-04-30 10:30,1115
Guillaume,2025-04-30 10:45,1215
Guillaume,2025-04-30 11:00,1299
Guillaume,2025-04-30 11:15,1380
Guillaume,2025-04-30 11:30,1458
Guillaume,2025-04-30 11:45,1522
Guillaume,2025-04-30 12:00,1580
Guillaume,2025-04-30 12:15,1647
Guillaume,2025-04-30 12:30,1690
Guillaume,2025-04-30 12:45,1723
Guillaume,2025-04-30 13:00,1763
Guillaume,2025-04-30 13:15,1786
Guillaume,2025-04-30 13:30,1799
Guillaume,2025-04-30 13:45,1810
Guillaume,2025-04-30 14:00,1813
Guillaume,2025-04-30 14:15,1806
Guillaume,2025-04-30 14:30,1801
Guillaume,2025-04-30 14:45,1774
Guillaume,2025-04-30 15:00,1755
Guillaume,2025-04-30 15:15,1704
Guillaume,2025-04-30 15:30,1680
Guillaume,2025-04-30 15:45,1633
Guillaume,2025-04-30 16:00,1592
Guillaume,2025-04-30 16:15,1526
Guillaume,2025-04-30 16:30,1464
Guillaume,2025-04-30 16:45,1388
Guillaume,2025-04-30 17:00,1306
Guillaume,2025-04-30 17:15,1206
Guillaume,2025-04-30 17:30,1121
Guillaume,2025-04-30 17:45,1029
Guillaume,2025-04-30 18:00,911
Guillaume,2025-04-30 18:15,803
Guillaume,2025-04-30 18:30,693
Guillaume,2025-04-30 18:45,147
Guillaume,2025-04-30 19:00,484
Guillaume,2025-04-30 19:15,348
Guillaume,2025-04-30 19:30,235
Guillaume,2025-04-30 19:45,150
Guillaume,2025-04-30 20:15,74
Guillaume,2025-04-30 20:30,59
Guillaume,2025-04-30 20:45,41
Guillaume,2025-04-30 21:00,20
Guillaume,2025-04-30 21:15,7
Guillaume,2025-04-30 21:30,0
Guillaume,2025-04-30 21:45,0
Guillaume,2025-04-30 22:00,0
