Plant Name,Time,Production (W)
Guillaume,2025-04-27 07:00,4
Guillaume,2025-04-27 07:15,19
Guillaume,2025-04-27 07:30,47
Guillaume,2025-04-27 07:45,70
Guillaume,2025-04-27 08:00,102
Guillaume,2025-04-27 08:15,109
Guillaume,2025-04-27 08:30,154
Guillaume,2025-04-27 08:45,175
Guillaume,2025-04-27 09:00,363
Guillaume,2025-04-27 09:15,501
Guillaume,2025-04-27 09:30,409
Guillaume,2025-04-27 09:45,629
Guillaume,2025-04-27 10:00,597
Guillaume,2025-04-27 10:15,927
Guillaume,2025-04-27 10:30,1070
Guillaume,2025-04-27 10:45,1232
Guillaume,2025-04-27 11:00,1303
Guillaume,2025-04-27 11:15,1384
Guillaume,2025-04-27 11:30,1512
Guillaume,2025-04-27 11:45,1603
Guillaume,2025-04-27 12:00,1630
Guillaume,2025-04-27 12:15,1690
Guillaume,2025-04-27 12:30,1725
Guillaume,2025-04-27 12:45,1810
Guillaume,2025-04-27 13:00,1819
Guillaume,2025-04-27 13:15,1855
Guillaume,2025-04-27 13:30,1852
Guillaume,2025-04-27 13:45,1854
Guillaume,2025-04-27 14:00,1811
Guillaume,2025-04-27 14:15,1911
Guillaume,2025-04-27 14:30,1880
Guillaume,2025-04-27 14:45,1864
Guillaume,2025-04-27 15:00,1827
Guillaume,2025-04-27 15:15,1816
Guillaume,2025-04-27 15:30,1885
Guillaume,2025-04-27 15:45,1450
Guillaume,2025-04-27 16:00,1755
Guillaume,2025-04-27 16:15,334
Guillaume,2025-04-27 16:30,1610
Guillaume,2025-04-27 16:45,373
Guillaume,2025-04-27 17:00,1305
Guillaume,2025-04-27 17:15,938
Guillaume,2025-04-27 17:30,1102
Guillaume,2025-04-27 17:45,1007
Guillaume,2025-04-27 18:00,912
Guillaume,2025-04-27 18:15,243
Guillaume,2025-04-27 18:30,178
Guillaume,2025-04-27 18:45,189
Guillaume,2025-04-27 19:00,369
Guillaume,2025-04-27 19:15,379
Guillaume,2025-04-27 19:30,248
Guillaume,2025-04-27 19:45,164
Guillaume,2025-04-27 20:00,113
Guillaume,2025-04-27 20:15,81
Guillaume,2025-04-27 20:30,57
Guillaume,2025-04-27 20:45,32
Guillaume,2025-04-27 21:00,11
Guillaume,2025-04-27 21:15,0
Guillaume,2025-04-27 21:30,0
Guillaume,2025-04-27 21:45,0
