Plant Name,Time,Production (W)
Guillaume,2025-05-10 06:30,0
Guillaume,2025-05-10 06:45,11
Guillaume,2025-05-10 07:00,25
Guillaume,2025-05-10 07:15,33
Guillaume,2025-05-10 07:30,52
Guillaume,2025-05-10 07:45,99
Guillaume,2025-05-10 08:00,123
Guillaume,2025-05-10 08:15,151
Guillaume,2025-05-10 08:30,181
Guillaume,2025-05-10 08:45,271
Guillaume,2025-05-10 09:00,387
Guillaume,2025-05-10 09:15,239
Guillaume,2025-05-10 09:30,146
Guillaume,2025-05-10 09:45,206
Guillaume,2025-05-10 10:00,266
Guillaume,2025-05-10 10:15,152
Guillaume,2025-05-10 10:30,206
Guillaume,2025-05-10 10:45,330
Guillaume,2025-05-10 11:00,589
Guillaume,2025-05-10 11:15,709
Guillaume,2025-05-10 11:30,691
Guillaume,2025-05-10 11:45,792
Guillaume,2025-05-10 12:00,1010
Guillaume,2025-05-10 12:15,1577
Guillaume,2025-05-10 12:30,1112
Guillaume,2025-05-10 12:45,514
Guillaume,2025-05-10 13:00,339
Guillaume,2025-05-10 13:15,513
Guillaume,2025-05-10 13:30,719
Guillaume,2025-05-10 13:45,563
Guillaume,2025-05-10 14:00,591
Guillaume,2025-05-10 14:15,1338
Guillaume,2025-05-10 14:30,655
Guillaume,2025-05-10 14:45,2199
Guillaume,2025-05-10 15:00,650
Guillaume,2025-05-10 15:15,854
Guillaume,2025-05-10 15:30,587
Guillaume,2025-05-10 15:45,1484
Guillaume,2025-05-10 16:00,581
Guillaume,2025-05-10 16:15,479
Guillaume,2025-05-10 16:30,1876
Guillaume,2025-05-10 16:45,1059
Guillaume,2025-05-10 17:00,599
Guillaume,2025-05-10 17:15,1370
Guillaume,2025-05-10 17:30,898
Guillaume,2025-05-10 17:45,655
Guillaume,2025-05-10 18:00,511
Guillaume,2025-05-10 18:15,507
Guillaume,2025-05-10 18:30,508
Guillaume,2025-05-10 18:45,466
Guillaume,2025-05-10 19:00,515
Guillaume,2025-05-10 19:15,132
Guillaume,2025-05-10 19:30,134
Guillaume,2025-05-10 19:45,119
Guillaume,2025-05-10 20:00,68
Guillaume,2025-05-10 20:15,72
Guillaume,2025-05-10 20:30,37
Guillaume,2025-05-10 20:45,21
Guillaume,2025-05-10 21:00,11
Guillaume,2025-05-10 21:15,9
Guillaume,2025-05-10 21:30,0
Guillaume,2025-05-10 21:45,0
