Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Guillaume,2025-07-30 00:00,0,0
Guillaume,2025-07-30 01:00,0,0
Guillaume,2025-07-30 02:00,0,0
Guillaume,2025-07-30 03:00,0,0
Guillaume,2025-07-30 04:00,0,0
Guillaume,2025-07-30 05:00,0,0
Guillaume,2025-07-30 06:00,0,0
Guillaume,2025-07-30 06:45,4,0
Guillaume,2025-07-30 07:00,16,0
Guillaume,2025-07-30 07:15,30,0
Guillaume,2025-07-30 07:30,41,0
Guillaume,2025-07-30 07:45,50,0
Guillaume,2025-07-30 08:00,59,0
Guillaume,2025-07-30 08:15,71,0
Guillaume,2025-07-30 08:30,78,0
Guillaume,2025-07-30 08:45,86,0
Guillaume,2025-07-30 09:00,287,0
Guillaume,2025-07-30 09:15,445,0
Guillaume,2025-07-30 09:30,583,0
Guillaume,2025-07-30 09:45,701,0
Guillaume,2025-07-30 10:00,825,0
Guillaume,2025-07-30 10:15,868,0
Guillaume,2025-07-30 10:30,364,0
Guillaume,2025-07-30 10:45,378,0
Guillaume,2025-07-30 11:00,798,0
Guillaume,2025-07-30 11:15,1495,0
Guillaume,2025-07-30 11:30,462,0
Guillaume,2025-07-30 11:45,446,0
Guillaume,2025-07-30 12:00,391,0
Guillaume,2025-07-30 12:15,442,0
Guillaume,2025-07-30 12:30,338,0
Guillaume,2025-07-30 12:45,624,0
Guillaume,2025-07-30 13:00,827,0
Guillaume,2025-07-30 13:15,374,0
Guillaume,2025-07-30 13:30,820,0
Guillaume,2025-07-30 13:45,419,0
Guillaume,2025-07-30 14:00,386,0
Guillaume,2025-07-30 14:15,1147,0
Guillaume,2025-07-30 14:30,2117,0
Guillaume,2025-07-30 14:45,2044,0
Guillaume,2025-07-30 15:00,1275,0
Guillaume,2025-07-30 15:15,725,0
Guillaume,2025-07-30 15:30,2001,0
Guillaume,2025-07-30 15:45,381,0
Guillaume,2025-07-30 16:00,1653,0
Guillaume,2025-07-30 16:15,1791,0
Guillaume,2025-07-30 16:30,344,0
Guillaume,2025-07-30 16:45,1555,0
Guillaume,2025-07-30 17:00,1566,0
Guillaume,2025-07-30 17:15,710,0
Guillaume,2025-07-30 17:30,1273,0
Guillaume,2025-07-30 17:45,767,0
Guillaume,2025-07-30 18:00,895,0
Guillaume,2025-07-30 18:15,856,0
Guillaume,2025-07-30 18:30,175,0
Guillaume,2025-07-30 18:45,341,0
Guillaume,2025-07-30 19:00,569,0
Guillaume,2025-07-30 19:15,382,0
Guillaume,2025-07-30 19:30,273,0
Guillaume,2025-07-30 19:45,192,0
Guillaume,2025-07-30 20:00,148,0
Guillaume,2025-07-30 20:15,90,0
Guillaume,2025-07-30 20:30,74,0
Guillaume,2025-07-30 20:45,58,0
Guillaume,2025-07-30 21:00,45,0
Guillaume,2025-07-30 21:15,17,0
Guillaume,2025-07-30 21:30,7,0
Guillaume,2025-07-30 22:30,0,0
Guillaume,2025-07-30 23:30,0,0
