Plant Name,Time,Production (W)
Guillaume,2025-04-24 07:00,0
Guillaume,2025-04-24 07:15,5
Guillaume,2025-04-24 07:30,17
Guillaume,2025-04-24 07:45,34
Guillaume,2025-04-24 08:00,60
Guillaume,2025-04-24 08:15,128
Guillaume,2025-04-24 08:30,184
Guillaume,2025-04-24 08:45,239
Guillaume,2025-04-24 09:00,468
Guillaume,2025-04-24 09:15,315
Guillaume,2025-04-24 09:30,387
Guillaume,2025-04-24 09:45,788
Guillaume,2025-04-24 10:00,560
Guillaume,2025-04-24 10:15,397
Guillaume,2025-04-24 10:30,296
Guillaume,2025-04-24 10:45,316
Guillaume,2025-04-24 11:00,235
Guillaume,2025-04-24 11:15,448
Guillaume,2025-04-24 11:30,452
Guillaume,2025-04-24 11:45,499
Guillaume,2025-04-24 12:00,604
Guillaume,2025-04-24 12:15,1096
Guillaume,2025-04-24 12:30,751
Guillaume,2025-04-24 12:45,812
Guillaume,2025-04-24 13:00,575
Guillaume,2025-04-24 13:15,669
Guillaume,2025-04-24 13:30,741
Guillaume,2025-04-24 13:45,729
Guillaume,2025-04-24 14:00,634
Guillaume,2025-04-24 14:15,721
Guillaume,2025-04-24 14:30,927
Guillaume,2025-04-24 14:45,997
Guillaume,2025-04-24 15:00,856
Guillaume,2025-04-24 15:15,813
Guillaume,2025-04-24 15:30,1391
Guillaume,2025-04-24 15:45,804
Guillaume,2025-04-24 16:00,434
Guillaume,2025-04-24 16:15,447
Guillaume,2025-04-24 16:30,515
Guillaume,2025-04-24 16:45,510
Guillaume,2025-04-24 17:00,488
Guillaume,2025-04-24 17:15,538
Guillaume,2025-04-24 17:30,733
Guillaume,2025-04-24 17:45,744
Guillaume,2025-04-24 18:00,628
Guillaume,2025-04-24 18:15,616
Guillaume,2025-04-24 18:30,654
Guillaume,2025-04-24 18:45,555
Guillaume,2025-04-24 19:00,377
Guillaume,2025-04-24 19:15,155
Guillaume,2025-04-24 19:30,125
Guillaume,2025-04-24 19:45,92
Guillaume,2025-04-24 20:00,82
Guillaume,2025-04-24 20:15,43
Guillaume,2025-04-24 20:30,33
Guillaume,2025-04-24 20:45,25
Guillaume,2025-04-24 21:00,9
Guillaume,2025-04-24 21:15,0
Guillaume,2025-04-24 21:30,0
Guillaume,2025-04-24 21:45,0
