Plant Name,Time,Production (W)
Guillaume,2025-05-06 06:45,3
Guillaume,2025-05-06 07:00,13
Guillaume,2025-05-06 07:15,31
Guillaume,2025-05-06 07:30,59
Guillaume,2025-05-06 07:45,83
Guillaume,2025-05-06 08:00,128
Guillaume,2025-05-06 08:15,128
Guillaume,2025-05-06 08:30,245
Guillaume,2025-05-06 08:45,205
Guillaume,2025-05-06 09:00,434
Guillaume,2025-05-06 09:15,233
Guillaume,2025-05-06 09:30,331
Guillaume,2025-05-06 09:45,556
Guillaume,2025-05-06 10:00,659
Guillaume,2025-05-06 10:15,644
Guillaume,2025-05-06 10:30,561
Guillaume,2025-05-06 10:45,604
Guillaume,2025-05-06 11:00,1018
Guillaume,2025-05-06 11:15,688
Guillaume,2025-05-06 11:30,914
Guillaume,2025-05-06 11:45,1180
Guillaume,2025-05-06 12:00,1030
Guillaume,2025-05-06 12:15,1021
Guillaume,2025-05-06 12:30,2222
Guillaume,2025-05-06 12:45,1970
Guillaume,2025-05-06 13:00,611
Guillaume,2025-05-06 13:15,609
Guillaume,2025-05-06 13:30,574
Guillaume,2025-05-06 13:45,519
Guillaume,2025-05-06 14:00,668
Guillaume,2025-05-06 14:15,900
Guillaume,2025-05-06 14:30,1246
Guillaume,2025-05-06 14:45,510
Guillaume,2025-05-06 15:00,878
Guillaume,2025-05-06 15:15,1523
Guillaume,2025-05-06 15:30,2061
Guillaume,2025-05-06 15:45,880
Guillaume,2025-05-06 16:00,691
Guillaume,2025-05-06 16:15,960
Guillaume,2025-05-06 16:30,1731
Guillaume,2025-05-06 16:45,471
Guillaume,2025-05-06 17:00,918
Guillaume,2025-05-06 17:15,1227
Guillaume,2025-05-06 17:30,585
Guillaume,2025-05-06 17:45,925
Guillaume,2025-05-06 18:00,280
Guillaume,2025-05-06 18:15,453
Guillaume,2025-05-06 18:30,180
Guillaume,2025-05-06 18:45,209
Guillaume,2025-05-06 19:00,527
Guillaume,2025-05-06 19:15,226
Guillaume,2025-05-06 19:30,151
Guillaume,2025-05-06 19:45,98
Guillaume,2025-05-06 20:00,120
Guillaume,2025-05-06 20:15,95
Guillaume,2025-05-06 20:30,76
Guillaume,2025-05-06 20:45,53
Guillaume,2025-05-06 21:00,32
Guillaume,2025-05-06 21:15,13
Guillaume,2025-05-06 21:30,0
Guillaume,2025-05-06 21:45,0
Guillaume,2025-05-06 22:00,0
