Plant Name,Time,Production (W)
Guillaume,2025-04-06 07:45,15
Guillaume,2025-04-06 08:00,36
Guillaume,2025-04-06 08:15,63
Guillaume,2025-04-06 08:30,89
Guillaume,2025-04-06 08:45,113
Guillaume,2025-04-06 09:00,150
Guillaume,2025-04-06 09:15,216
Guillaume,2025-04-06 09:30,228
Guillaume,2025-04-06 09:45,239
Guillaume,2025-04-06 10:00,251
Guillaume,2025-04-06 10:15,279
Guillaume,2025-04-06 10:30,413
Guillaume,2025-04-06 10:45,1073
Guillaume,2025-04-06 11:00,1166
Guillaume,2025-04-06 11:15,1272
Guillaume,2025-04-06 11:30,1369
Guillaume,2025-04-06 11:45,1456
Guillaume,2025-04-06 12:00,1519
Guillaume,2025-04-06 12:15,1587
Guillaume,2025-04-06 12:30,1660
Guillaume,2025-04-06 12:45,1695
Guillaume,2025-04-06 13:00,1735
Guillaume,2025-04-06 13:15,1770
Guillaume,2025-04-06 13:30,1776
Guillaume,2025-04-06 13:45,1822
Guillaume,2025-04-06 14:00,1830
Guillaume,2025-04-06 14:15,1824
Guillaume,2025-04-06 14:30,1813
Guillaume,2025-04-06 14:45,1784
Guillaume,2025-04-06 15:00,1762
Guillaume,2025-04-06 15:15,1727
Guillaume,2025-04-06 15:30,1694
Guillaume,2025-04-06 15:45,1664
Guillaume,2025-04-06 16:00,1605
Guillaume,2025-04-06 16:15,1564
Guillaume,2025-04-06 16:30,1477
Guillaume,2025-04-06 16:45,1410
Guillaume,2025-04-06 17:00,1320
Guillaume,2025-04-06 17:15,1229
Guillaume,2025-04-06 17:30,1125
Guillaume,2025-04-06 17:45,1014
Guillaume,2025-04-06 18:00,907
Guillaume,2025-04-06 18:15,798
Guillaume,2025-04-06 18:30,683
Guillaume,2025-04-06 18:45,564
Guillaume,2025-04-06 19:00,444
Guillaume,2025-04-06 19:15,319
Guillaume,2025-04-06 19:30,208
Guillaume,2025-04-06 19:45,121
Guillaume,2025-04-06 20:00,68
Guillaume,2025-04-06 20:15,42
Guillaume,2025-04-06 20:30,18
Guillaume,2025-04-06 20:45,4
Guillaume,2025-04-06 21:00,0
Guillaume,2025-04-06 21:15,0
