Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Guillaume,2025-06-03 00:00,0,0
Guillaume,2025-06-03 01:00,0,0
Guillaume,2025-06-03 02:00,0,0
Guillaume,2025-06-03 03:00,0,0
Guillaume,2025-06-03 04:00,0,0
Guillaume,2025-06-03 05:00,0,0
Guillaume,2025-06-03 06:00,0,0
Guillaume,2025-06-03 06:15,3,0
Guillaume,2025-06-03 06:30,17,0
Guillaume,2025-06-03 06:45,39,0
Guillaume,2025-06-03 07:00,77,0
Guillaume,2025-06-03 07:15,74,0
Guillaume,2025-06-03 07:30,92,0
Guillaume,2025-06-03 07:45,133,0
Guillaume,2025-06-03 08:00,161,0
Guillaume,2025-06-03 08:15,157,0
Guillaume,2025-06-03 08:30,276,0
Guillaume,2025-06-03 08:45,339,0
Guillaume,2025-06-03 09:00,326,0
Guillaume,2025-06-03 09:15,595,0
Guillaume,2025-06-03 09:30,770,0
Guillaume,2025-06-03 09:45,712,0
Guillaume,2025-06-03 10:00,671,0
Guillaume,2025-06-03 10:15,910,0
Guillaume,2025-06-03 10:30,526,0
Guillaume,2025-06-03 10:45,1126,0
Guillaume,2025-06-03 11:00,1159,0
Guillaume,2025-06-03 11:15,644,0
Guillaume,2025-06-03 11:30,698,0
Guillaume,2025-06-03 11:45,1352,0
Guillaume,2025-06-03 12:00,1359,0
Guillaume,2025-06-03 12:15,748,0
Guillaume,2025-06-03 12:30,1461,0
Guillaume,2025-06-03 12:45,1187,0
Guillaume,2025-06-03 13:00,1530,0
Guillaume,2025-06-03 13:15,1577,0
Guillaume,2025-06-03 13:30,1623,0
Guillaume,2025-06-03 13:45,1671,0
Guillaume,2025-06-03 14:00,805,0
Guillaume,2025-06-03 14:15,575,0
Guillaume,2025-06-03 14:30,477,0
Guillaume,2025-06-03 14:45,737,0
Guillaume,2025-06-03 15:00,652,0
Guillaume,2025-06-03 15:15,729,0
Guillaume,2025-06-03 15:30,386,0
Guillaume,2025-06-03 15:45,275,0
Guillaume,2025-06-03 16:00,415,0
Guillaume,2025-06-03 16:15,374,0
Guillaume,2025-06-03 16:30,313,0
Guillaume,2025-06-03 16:45,288,0
Guillaume,2025-06-03 17:00,691,0
Guillaume,2025-06-03 17:15,390,0
Guillaume,2025-06-03 17:30,404,0
Guillaume,2025-06-03 17:45,613,0
Guillaume,2025-06-03 18:00,447,0
Guillaume,2025-06-03 18:15,425,0
Guillaume,2025-06-03 18:30,340,0
Guillaume,2025-06-03 18:45,263,0
Guillaume,2025-06-03 19:00,271,0
Guillaume,2025-06-03 19:15,229,0
Guillaume,2025-06-03 19:30,172,0
Guillaume,2025-06-03 19:45,134,0
Guillaume,2025-06-03 20:00,91,0
Guillaume,2025-06-03 20:15,40,0
Guillaume,2025-06-03 20:30,68,0
Guillaume,2025-06-03 20:45,72,0
Guillaume,2025-06-03 21:00,66,0
Guillaume,2025-06-03 21:15,25,0
Guillaume,2025-06-03 21:30,13,0
Guillaume,2025-06-03 22:30,0,0
Guillaume,2025-06-03 23:30,0,0
