Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Guillaume,2025-08-09 00:00,0,0
Guillaume,2025-08-09 01:00,0,0
Guillaume,2025-08-09 02:00,0,0
Guillaume,2025-08-09 03:00,0,0
Guillaume,2025-08-09 04:00,0,0
Guillaume,2025-08-09 04:45,10,0
Guillaume,2025-08-09 05:00,24,0
Guillaume,2025-08-09 05:15,40,0
Guillaume,2025-08-09 05:30,64,0
Guillaume,2025-08-09 05:45,104,0
Guillaume,2025-08-09 06:00,131,0
Guillaume,2025-08-09 06:15,154,0
Guillaume,2025-08-09 06:30,303,0
Guillaume,2025-08-09 06:45,371,0
Guillaume,2025-08-09 07:00,476,0
Guillaume,2025-08-09 07:15,657,0
Guillaume,2025-08-09 07:30,782,0
Guillaume,2025-08-09 07:45,969,0
Guillaume,2025-08-09 08:00,1064,0
Guillaume,2025-08-09 08:15,1160,0
Guillaume,2025-08-09 08:30,1259,0
Guillaume,2025-08-09 08:45,1412,0
Guillaume,2025-08-09 09:00,1483,0
Guillaume,2025-08-09 09:15,1566,0
Guillaume,2025-08-09 09:30,1662,0
Guillaume,2025-08-09 09:45,1620,0
Guillaume,2025-08-09 10:00,1664,0
Guillaume,2025-08-09 10:15,1682,0
Guillaume,2025-08-09 10:30,1719,0
Guillaume,2025-08-09 10:45,1739,0
Guillaume,2025-08-09 11:00,1763,0
Guillaume,2025-08-09 11:15,1812,0
Guillaume,2025-08-09 11:30,1747,0
Guillaume,2025-08-09 11:45,1692,0
Guillaume,2025-08-09 12:00,1653,0
Guillaume,2025-08-09 12:15,1564,0
Guillaume,2025-08-09 12:30,1509,0
Guillaume,2025-08-09 12:45,1470,0
Guillaume,2025-08-09 13:00,1391,0
Guillaume,2025-08-09 13:15,1335,0
Guillaume,2025-08-09 13:30,1272,0
Guillaume,2025-08-09 13:45,1109,0
Guillaume,2025-08-09 14:00,1009,0
Guillaume,2025-08-09 14:15,911,0
Guillaume,2025-08-09 14:30,806,0
Guillaume,2025-08-09 14:45,694,0
Guillaume,2025-08-09 15:00,574,0
Guillaume,2025-08-09 15:15,344,0
Guillaume,2025-08-09 15:30,235,0
Guillaume,2025-08-09 15:45,145,0
Guillaume,2025-08-09 16:00,94,0
Guillaume,2025-08-09 16:15,73,0
Guillaume,2025-08-09 16:30,60,0
Guillaume,2025-08-09 16:45,27,0
Guillaume,2025-08-09 17:00,10,0
Guillaume,2025-08-09 18:00,0,0
Guillaume,2025-08-09 19:00,0,0
Guillaume,2025-08-09 20:00,0,0
Guillaume,2025-08-09 21:00,0,0
Guillaume,2025-08-09 22:00,0,0
Guillaume,2025-08-09 23:00,0,0
