Plant Name,Time,Production (W)
Guillaume,2025-04-03 07:45,5
Guillaume,2025-04-03 08:00,15
Guillaume,2025-04-03 08:15,19
Guillaume,2025-04-03 08:30,22
Guillaume,2025-04-03 08:45,41
Guillaume,2025-04-03 09:00,28
Guillaume,2025-04-03 09:15,36
Guillaume,2025-04-03 09:30,83
Guillaume,2025-04-03 09:45,85
Guillaume,2025-04-03 10:00,85
Guillaume,2025-04-03 10:15,134
Guillaume,2025-04-03 10:30,84
Guillaume,2025-04-03 10:45,86
Guillaume,2025-04-03 11:00,82
Guillaume,2025-04-03 11:15,95
Guillaume,2025-04-03 11:30,122
Guillaume,2025-04-03 11:45,163
Guillaume,2025-04-03 12:00,148
Guillaume,2025-04-03 12:15,152
Guillaume,2025-04-03 12:30,169
Guillaume,2025-04-03 12:45,199
Guillaume,2025-04-03 13:00,272
Guillaume,2025-04-03 13:15,113
Guillaume,2025-04-03 13:30,176
Guillaume,2025-04-03 13:45,141
Guillaume,2025-04-03 14:00,184
Guillaume,2025-04-03 14:15,175
Guillaume,2025-04-03 14:30,143
Guillaume,2025-04-03 14:45,258
Guillaume,2025-04-03 15:00,365
Guillaume,2025-04-03 15:15,347
Guillaume,2025-04-03 15:30,391
Guillaume,2025-04-03 15:45,392
Guillaume,2025-04-03 16:00,358
Guillaume,2025-04-03 16:15,508
Guillaume,2025-04-03 16:30,462
Guillaume,2025-04-03 16:45,257
Guillaume,2025-04-03 17:00,326
Guillaume,2025-04-03 17:15,293
Guillaume,2025-04-03 17:30,400
Guillaume,2025-04-03 17:45,337
Guillaume,2025-04-03 18:00,217
Guillaume,2025-04-03 18:15,293
Guillaume,2025-04-03 18:30,382
Guillaume,2025-04-03 18:45,255
Guillaume,2025-04-03 19:00,110
Guillaume,2025-04-03 19:15,216
Guillaume,2025-04-03 19:30,159
Guillaume,2025-04-03 19:45,93
Guillaume,2025-04-03 20:00,31
Guillaume,2025-04-03 20:15,20
Guillaume,2025-04-03 20:30,9
Guillaume,2025-04-03 20:45,0
Guillaume,2025-04-03 21:00,0
Guillaume,2025-04-03 21:15,0
