Plant Name,Time,Production (W)
Guillaume,2025-04-02 08:00,23
Guillaume,2025-04-02 08:15,41
Guillaume,2025-04-02 08:30,58
Guillaume,2025-04-02 08:45,78
Guillaume,2025-04-02 09:00,120
Guillaume,2025-04-02 09:15,194
Guillaume,2025-04-02 09:30,184
Guillaume,2025-04-02 09:45,150
Guillaume,2025-04-02 10:00,153
Guillaume,2025-04-02 10:15,169
Guillaume,2025-04-02 10:30,234
Guillaume,2025-04-02 10:45,1180
Guillaume,2025-04-02 11:00,1338
Guillaume,2025-04-02 11:15,1426
Guillaume,2025-04-02 11:30,1513
Guillaume,2025-04-02 11:45,1606
Guillaume,2025-04-02 12:00,1665
Guillaume,2025-04-02 12:15,1740
Guillaume,2025-04-02 12:30,1809
Guillaume,2025-04-02 12:45,1850
Guillaume,2025-04-02 13:00,1882
Guillaume,2025-04-02 13:15,1900
Guillaume,2025-04-02 13:30,1934
Guillaume,2025-04-02 13:45,1964
Guillaume,2025-04-02 14:00,1977
Guillaume,2025-04-02 14:15,1966
Guillaume,2025-04-02 14:30,1939
Guillaume,2025-04-02 14:45,1941
Guillaume,2025-04-02 15:00,1903
Guillaume,2025-04-02 15:15,1871
Guillaume,2025-04-02 15:30,1810
Guillaume,2025-04-02 15:45,1783
Guillaume,2025-04-02 16:00,1744
Guillaume,2025-04-02 16:15,1692
Guillaume,2025-04-02 16:30,1561
Guillaume,2025-04-02 16:45,540
Guillaume,2025-04-02 17:00,593
Guillaume,2025-04-02 17:15,1473
Guillaume,2025-04-02 17:30,549
Guillaume,2025-04-02 17:45,1144
Guillaume,2025-04-02 18:00,293
Guillaume,2025-04-02 18:15,213
Guillaume,2025-04-02 18:30,113
Guillaume,2025-04-02 18:45,33
Guillaume,2025-04-02 19:00,49
Guillaume,2025-04-02 19:15,74
Guillaume,2025-04-02 19:30,114
Guillaume,2025-04-02 19:45,68
Guillaume,2025-04-02 20:00,26
Guillaume,2025-04-02 20:15,7
Guillaume,2025-04-02 20:30,0
Guillaume,2025-04-02 20:45,0
