Plant Name,Time,Production (W)
Guillaume,2025-09-01 00:30,2018
Guillaume,2025-09-01 00:45,1940
Guillaume,2025-09-01 16:00,1997
Guillaume,2025-09-01 16:15,474
Guillaume,2025-09-01 16:30,554
Guillaume,2025-09-01 16:45,1531
Guillaume,2025-09-01 17:00,1357
Guillaume,2025-09-01 17:15,979
Guillaume,2025-09-01 17:30,1082
Guillaume,2025-09-01 17:45,964
Guillaume,2025-09-01 18:00,854
Guillaume,2025-09-01 18:15,730
Guillaume,2025-09-01 18:30,591
Guillaume,2025-09-01 18:45,466
Guillaume,2025-09-01 19:00,343
Guillaume,2025-09-01 19:15,240
Guillaume,2025-09-01 19:30,125
Guillaume,2025-09-01 19:45,81
Guillaume,2025-09-01 20:00,48
Guillaume,2025-09-01 20:15,26
Guillaume,2025-09-01 20:30,9
Guillaume,2025-09-01 20:45,0
Guillaume,2025-09-01 21:00,0
Guillaume,2025-09-01 21:15,0
