Plant Name,Time,Production (W)
Guillaume,2025-04-16 07:15,0
Guillaume,2025-04-16 07:30,16
Guillaume,2025-04-16 07:45,30
Guillaume,2025-04-16 08:00,79
Guillaume,2025-04-16 08:15,58
Guillaume,2025-04-16 08:30,82
Guillaume,2025-04-16 08:45,98
Guillaume,2025-04-16 09:00,158
Guillaume,2025-04-16 09:15,213
Guillaume,2025-04-16 09:30,309
Guillaume,2025-04-16 09:45,393
Guillaume,2025-04-16 10:00,280
Guillaume,2025-04-16 10:15,430
Guillaume,2025-04-16 10:30,842
Guillaume,2025-04-16 10:45,1302
Guillaume,2025-04-16 11:00,1492
Guillaume,2025-04-16 11:15,266
Guillaume,2025-04-16 11:30,1699
Guillaume,2025-04-16 11:45,345
Guillaume,2025-04-16 12:00,437
Guillaume,2025-04-16 12:15,383
Guillaume,2025-04-16 12:30,2006
Guillaume,2025-04-16 12:45,2204
Guillaume,2025-04-16 13:00,2229
Guillaume,2025-04-16 13:15,2234
Guillaume,2025-04-16 13:30,399
Guillaume,2025-04-16 13:45,343
Guillaume,2025-04-16 14:00,1206
Guillaume,2025-04-16 14:15,1318
Guillaume,2025-04-16 14:30,2193
Guillaume,2025-04-16 14:45,285
Guillaume,2025-04-16 15:00,337
Guillaume,2025-04-16 15:15,490
Guillaume,2025-04-16 15:30,412
Guillaume,2025-04-16 15:45,1150
Guillaume,2025-04-16 16:00,519
Guillaume,2025-04-16 16:15,761
Guillaume,2025-04-16 16:30,1922
Guillaume,2025-04-16 16:45,321
Guillaume,2025-04-16 17:00,1643
Guillaume,2025-04-16 17:15,245
Guillaume,2025-04-16 17:30,1538
Guillaume,2025-04-16 17:45,145
Guillaume,2025-04-16 18:00,410
Guillaume,2025-04-16 18:15,194
Guillaume,2025-04-16 18:30,199
Guillaume,2025-04-16 18:45,524
Guillaume,2025-04-16 19:00,568
Guillaume,2025-04-16 19:15,259
Guillaume,2025-04-16 19:30,230
Guillaume,2025-04-16 19:45,34
Guillaume,2025-04-16 20:00,54
Guillaume,2025-04-16 20:15,67
Guillaume,2025-04-16 20:30,27
Guillaume,2025-04-16 20:45,13
Guillaume,2025-04-16 21:00,3
Guillaume,2025-04-16 21:15,0
Guillaume,2025-04-16 21:30,0
