Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Guillaume,2025-06-24 00:00,916,0
Guillaume,2025-06-24 00:15,608,0
Guillaume,2025-06-24 00:30,794,0
Guillaume,2025-06-24 00:45,1231,0
Guillaume,2025-06-24 01:00,1361,0
Guillaume,2025-06-24 01:15,1607,0
Guillaume,2025-06-24 01:30,978,0
Guillaume,2025-06-24 01:45,876,0
Guillaume,2025-06-24 02:00,653,0
Guillaume,2025-06-24 02:15,544,0
Guillaume,2025-06-24 02:30,302,0
Guillaume,2025-06-24 02:45,13,0
Guillaume,2025-06-24 03:00,15,0
Guillaume,2025-06-24 03:15,56,0
Guillaume,2025-06-24 03:30,334,0
Guillaume,2025-06-24 03:45,591,0
Guillaume,2025-06-24 04:00,492,0
Guillaume,2025-06-24 04:15,248,0
Guillaume,2025-06-24 04:30,169,0
Guillaume,2025-06-24 04:45,130,0
Guillaume,2025-06-24 05:00,112,0
Guillaume,2025-06-24 05:15,101,0
Guillaume,2025-06-24 05:30,75,0
Guillaume,2025-06-24 05:45,48,0
Guillaume,2025-06-24 06:00,18,0
Guillaume,2025-06-24 06:15,8,0
Guillaume,2025-06-24 07:15,0,0
Guillaume,2025-06-24 08:15,0,0
Guillaume,2025-06-24 09:15,0,0
Guillaume,2025-06-24 10:15,0,0
Guillaume,2025-06-24 11:15,0,0
Guillaume,2025-06-24 12:15,0,0
Guillaume,2025-06-24 13:15,0,0
Guillaume,2025-06-24 13:30,12,0
Guillaume,2025-06-24 13:45,31,0
Guillaume,2025-06-24 14:00,42,0
Guillaume,2025-06-24 14:15,57,0
Guillaume,2025-06-24 14:30,79,0
Guillaume,2025-06-24 14:45,266,0
Guillaume,2025-06-24 15:00,181,0
Guillaume,2025-06-24 15:15,65,0
Guillaume,2025-06-24 15:30,147,0
Guillaume,2025-06-24 15:45,207,0
Guillaume,2025-06-24 16:00,312,0
Guillaume,2025-06-24 16:15,365,0
Guillaume,2025-06-24 16:30,201,0
Guillaume,2025-06-24 16:45,145,0
Guillaume,2025-06-24 17:00,1375,0
Guillaume,2025-06-24 17:15,507,0
Guillaume,2025-06-24 17:30,473,0
Guillaume,2025-06-24 17:45,1068,0
Guillaume,2025-06-24 18:00,511,0
Guillaume,2025-06-24 18:15,697,0
Guillaume,2025-06-24 18:30,869,0
Guillaume,2025-06-24 18:45,1592,0
Guillaume,2025-06-24 19:00,2089,0
Guillaume,2025-06-24 19:15,2090,0
Guillaume,2025-06-24 19:30,429,0
Guillaume,2025-06-24 19:45,580,0
Guillaume,2025-06-24 20:00,749,0
Guillaume,2025-06-24 20:15,1695,0
Guillaume,2025-06-24 20:30,451,0
Guillaume,2025-06-24 20:45,1278,0
Guillaume,2025-06-24 21:00,381,0
Guillaume,2025-06-24 21:15,311,0
Guillaume,2025-06-24 21:30,503,0
Guillaume,2025-06-24 21:45,1020,0
Guillaume,2025-06-24 22:00,415,0
Guillaume,2025-06-24 22:15,651,0
Guillaume,2025-06-24 22:30,337,0
Guillaume,2025-06-24 22:45,565,0
Guillaume,2025-06-24 23:00,472,0
Guillaume,2025-06-24 23:15,314,0
Guillaume,2025-06-24 23:30,194,0
Guillaume,2025-06-24 23:45,779,0
