Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Guillaume,2025-07-31 00:00,0,0
Guillaume,2025-07-31 01:00,0,0
Guillaume,2025-07-31 02:00,0,0
Guillaume,2025-07-31 03:00,0,0
Guillaume,2025-07-31 04:00,0,0
Guillaume,2025-07-31 05:00,0,0
Guillaume,2025-07-31 06:00,0,0
Guillaume,2025-07-31 06:45,4,0
Guillaume,2025-07-31 07:00,16,0
Guillaume,2025-07-31 07:15,27,0
Guillaume,2025-07-31 07:30,47,0
Guillaume,2025-07-31 07:45,57,0
Guillaume,2025-07-31 08:00,65,0
Guillaume,2025-07-31 08:15,165,0
Guillaume,2025-07-31 08:30,202,0
Guillaume,2025-07-31 08:45,171,0
Guillaume,2025-07-31 09:00,286,0
Guillaume,2025-07-31 09:15,267,0
Guillaume,2025-07-31 09:30,220,0
Guillaume,2025-07-31 09:45,317,0
Guillaume,2025-07-31 10:00,443,0
Guillaume,2025-07-31 10:15,355,0
Guillaume,2025-07-31 10:30,326,0
Guillaume,2025-07-31 10:45,718,0
Guillaume,2025-07-31 11:00,940,0
Guillaume,2025-07-31 11:15,283,0
Guillaume,2025-07-31 11:30,463,0
Guillaume,2025-07-31 11:45,279,0
Guillaume,2025-07-31 12:00,399,0
Guillaume,2025-07-31 12:15,495,0
Guillaume,2025-07-31 12:30,647,0
Guillaume,2025-07-31 12:45,562,0
Guillaume,2025-07-31 13:00,174,0
Guillaume,2025-07-31 13:15,284,0
Guillaume,2025-07-31 13:30,340,0
Guillaume,2025-07-31 13:45,404,0
Guillaume,2025-07-31 14:00,411,0
Guillaume,2025-07-31 14:15,389,0
Guillaume,2025-07-31 14:30,423,0
Guillaume,2025-07-31 14:45,453,0
Guillaume,2025-07-31 15:00,510,0
Guillaume,2025-07-31 15:15,389,0
Guillaume,2025-07-31 15:30,335,0
Guillaume,2025-07-31 15:45,2158,0
Guillaume,2025-07-31 16:00,717,0
Guillaume,2025-07-31 16:15,1934,0
Guillaume,2025-07-31 16:30,1757,0
Guillaume,2025-07-31 16:45,650,0
Guillaume,2025-07-31 17:00,127,0
Guillaume,2025-07-31 17:15,650,0
Guillaume,2025-07-31 17:30,549,0
Guillaume,2025-07-31 17:45,608,0
Guillaume,2025-07-31 18:00,635,0
Guillaume,2025-07-31 18:15,418,0
Guillaume,2025-07-31 18:30,238,0
Guillaume,2025-07-31 18:45,174,0
Guillaume,2025-07-31 19:00,139,0
Guillaume,2025-07-31 19:15,259,0
Guillaume,2025-07-31 19:30,210,0
Guillaume,2025-07-31 19:45,148,0
Guillaume,2025-07-31 20:00,103,0
Guillaume,2025-07-31 20:15,62,0
Guillaume,2025-07-31 20:30,69,0
Guillaume,2025-07-31 20:45,92,0
Guillaume,2025-07-31 21:00,60,0
Guillaume,2025-07-31 21:15,17,0
Guillaume,2025-07-31 21:30,4,0
Guillaume,2025-07-31 22:30,0,0
Guillaume,2025-07-31 23:30,0,0
