Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Guillaume,2025-06-26 00:00,0,0
Guillaume,2025-06-26 01:00,0,0
Guillaume,2025-06-26 02:00,0,0
Guillaume,2025-06-26 03:00,0,0
Guillaume,2025-06-26 04:00,0,0
Guillaume,2025-06-26 05:00,0,0
Guillaume,2025-06-26 06:00,0,0
Guillaume,2025-06-26 07:00,17,0
Guillaume,2025-06-26 07:15,44,0
Guillaume,2025-06-26 07:30,127,0
Guillaume,2025-06-26 07:45,120,0
Guillaume,2025-06-26 08:00,137,0
Guillaume,2025-06-26 08:15,138,0
Guillaume,2025-06-26 08:30,179,0
Guillaume,2025-06-26 08:45,235,0
Guillaume,2025-06-26 09:00,364,0
Guillaume,2025-06-26 09:15,344,0
Guillaume,2025-06-26 09:30,322,0
Guillaume,2025-06-26 09:45,421,0
Guillaume,2025-06-26 10:00,419,0
Guillaume,2025-06-26 10:15,446,0
Guillaume,2025-06-26 10:30,653,0
Guillaume,2025-06-26 10:45,600,0
Guillaume,2025-06-26 11:00,607,0
Guillaume,2025-06-26 11:15,2004,0
Guillaume,2025-06-26 11:30,2127,0
Guillaume,2025-06-26 11:45,755,0
Guillaume,2025-06-26 12:00,1852,0
Guillaume,2025-06-26 12:15,1955,0
Guillaume,2025-06-26 12:30,852,0
Guillaume,2025-06-26 12:45,1777,0
Guillaume,2025-06-26 13:00,1760,0
Guillaume,2025-06-26 13:15,1751,0
Guillaume,2025-06-26 13:30,1721,0
Guillaume,2025-06-26 13:45,1708,0
Guillaume,2025-06-26 14:00,1668,0
Guillaume,2025-06-26 14:15,1646,0
Guillaume,2025-06-26 14:30,1603,0
Guillaume,2025-06-26 14:45,1560,0
Guillaume,2025-06-26 15:00,1525,0
Guillaume,2025-06-26 15:15,1401,0
Guillaume,2025-06-26 15:30,1330,0
Guillaume,2025-06-26 15:45,1264,0
Guillaume,2025-06-26 16:00,1173,0
Guillaume,2025-06-26 16:15,1084,0
Guillaume,2025-06-26 16:30,994,0
Guillaume,2025-06-26 16:45,801,0
Guillaume,2025-06-26 17:00,693,0
Guillaume,2025-06-26 17:15,584,0
Guillaume,2025-06-26 17:30,473,0
Guillaume,2025-06-26 17:45,365,0
Guillaume,2025-06-26 18:00,241,0
Guillaume,2025-06-26 18:15,110,0
Guillaume,2025-06-26 18:30,87,0
Guillaume,2025-06-26 18:45,79,0
Guillaume,2025-06-26 19:00,70,0
Guillaume,2025-06-26 19:15,60,0
Guillaume,2025-06-26 19:30,48,0
Guillaume,2025-06-26 19:45,18,0
Guillaume,2025-06-26 20:00,6,0
Guillaume,2025-06-26 21:00,0,0
Guillaume,2025-06-26 22:00,0,0
Guillaume,2025-06-26 23:00,0,0
