Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Guillaume,2025-07-28 00:00,0,0
Guillaume,2025-07-28 01:00,0,0
Guillaume,2025-07-28 02:00,0,0
Guillaume,2025-07-28 03:00,0,0
Guillaume,2025-07-28 04:00,0,0
Guillaume,2025-07-28 05:00,0,0
Guillaume,2025-07-28 06:00,0,0
Guillaume,2025-07-28 06:45,10,0
Guillaume,2025-07-28 07:00,21,0
Guillaume,2025-07-28 07:15,35,0
Guillaume,2025-07-28 07:30,48,0
Guillaume,2025-07-28 07:45,61,0
Guillaume,2025-07-28 08:00,73,0
Guillaume,2025-07-28 08:15,84,0
Guillaume,2025-07-28 08:30,100,0
Guillaume,2025-07-28 08:45,114,0
Guillaume,2025-07-28 09:00,337,0
Guillaume,2025-07-28 09:15,458,0
Guillaume,2025-07-28 09:30,583,0
Guillaume,2025-07-28 09:45,697,0
Guillaume,2025-07-28 10:00,812,0
Guillaume,2025-07-28 10:15,1078,0
Guillaume,2025-07-28 10:30,1075,0
Guillaume,2025-07-28 10:45,592,0
Guillaume,2025-07-28 11:00,592,0
Guillaume,2025-07-28 11:15,1558,0
Guillaume,2025-07-28 11:30,715,0
Guillaume,2025-07-28 11:45,1555,0
Guillaume,2025-07-28 12:00,1428,0
Guillaume,2025-07-28 12:15,757,0
Guillaume,2025-07-28 12:30,1810,0
Guillaume,2025-07-28 12:45,1866,0
Guillaume,2025-07-28 13:00,345,0
Guillaume,2025-07-28 13:15,1935,0
Guillaume,2025-07-28 13:30,2061,0
Guillaume,2025-07-28 13:45,1994,0
Guillaume,2025-07-28 14:00,386,0
Guillaume,2025-07-28 14:15,2178,0
Guillaume,2025-07-28 14:30,490,0
Guillaume,2025-07-28 14:45,823,0
Guillaume,2025-07-28 15:00,2091,0
Guillaume,2025-07-28 15:15,1671,0
Guillaume,2025-07-28 15:30,516,0
Guillaume,2025-07-28 15:45,895,0
Guillaume,2025-07-28 16:00,247,0
Guillaume,2025-07-28 16:15,245,0
Guillaume,2025-07-28 16:30,293,0
Guillaume,2025-07-28 16:45,433,0
Guillaume,2025-07-28 17:00,373,0
Guillaume,2025-07-28 17:15,320,0
Guillaume,2025-07-28 17:30,292,0
Guillaume,2025-07-28 17:45,266,0
Guillaume,2025-07-28 18:00,199,0
Guillaume,2025-07-28 18:15,379,0
Guillaume,2025-07-28 18:30,1012,0
Guillaume,2025-07-28 18:45,373,0
Guillaume,2025-07-28 19:00,231,0
Guillaume,2025-07-28 19:15,363,0
Guillaume,2025-07-28 19:30,249,0
Guillaume,2025-07-28 19:45,204,0
Guillaume,2025-07-28 20:15,211,0
Guillaume,2025-07-28 20:30,96,0
Guillaume,2025-07-28 20:45,87,0
Guillaume,2025-07-28 21:00,58,0
Guillaume,2025-07-28 21:15,36,0
Guillaume,2025-07-28 21:30,16,0
Guillaume,2025-07-28 21:45,6,0
Guillaume,2025-07-28 22:45,0,0
Guillaume,2025-07-28 23:45,0,0
