Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Guillaume,2025-06-02 00:00,0,0
Guillaume,2025-06-02 01:00,0,0
Guillaume,2025-06-02 02:00,0,0
Guillaume,2025-06-02 03:00,0,0
Guillaume,2025-06-02 04:00,0,0
Guillaume,2025-06-02 05:00,0,0
Guillaume,2025-06-02 06:00,0,0
Guillaume,2025-06-02 06:15,4,0
Guillaume,2025-06-02 06:30,16,0
Guillaume,2025-06-02 06:45,29,0
Guillaume,2025-06-02 07:00,46,0
Guillaume,2025-06-02 07:30,79,0
Guillaume,2025-06-02 07:45,92,0
Guillaume,2025-06-02 08:00,107,0
Guillaume,2025-06-02 08:15,122,0
Guillaume,2025-06-02 08:30,161,0
Guillaume,2025-06-02 08:45,375,0
Guillaume,2025-06-02 09:00,665,0
Guillaume,2025-06-02 09:15,776,0
Guillaume,2025-06-02 09:30,898,0
Guillaume,2025-06-02 09:45,995,0
Guillaume,2025-06-02 10:00,1096,0
Guillaume,2025-06-02 10:15,1195,0
Guillaume,2025-06-02 10:30,1465,0
Guillaume,2025-06-02 10:45,1600,0
Guillaume,2025-06-02 11:00,1783,0
Guillaume,2025-06-02 11:15,1747,0
Guillaume,2025-06-02 11:30,1823,0
Guillaume,2025-06-02 11:45,633,0
Guillaume,2025-06-02 12:00,1951,0
Guillaume,2025-06-02 12:15,628,0
Guillaume,2025-06-02 12:30,2108,0
Guillaume,2025-06-02 12:45,656,0
Guillaume,2025-06-02 13:00,1426,0
Guillaume,2025-06-02 13:15,845,0
Guillaume,2025-06-02 13:30,2105,0
Guillaume,2025-06-02 13:45,505,0
Guillaume,2025-06-02 14:00,554,0
Guillaume,2025-06-02 14:15,592,0
Guillaume,2025-06-02 14:30,900,0
Guillaume,2025-06-02 14:45,1681,0
Guillaume,2025-06-02 15:00,1553,0
Guillaume,2025-06-02 15:15,1567,0
Guillaume,2025-06-02 15:30,1552,0
Guillaume,2025-06-02 15:45,1030,0
Guillaume,2025-06-02 16:00,360,0
Guillaume,2025-06-02 16:15,617,0
Guillaume,2025-06-02 16:30,799,0
Guillaume,2025-06-02 16:45,745,0
Guillaume,2025-06-02 17:00,624,0
Guillaume,2025-06-02 17:15,516,0
Guillaume,2025-06-02 17:30,410,0
Guillaume,2025-06-02 17:45,294,0
Guillaume,2025-06-02 18:00,153,0
Guillaume,2025-06-02 18:15,120,0
Guillaume,2025-06-02 18:30,104,0
Guillaume,2025-06-02 18:45,87,0
Guillaume,2025-06-02 19:00,68,0
Guillaume,2025-06-02 19:15,45,0
Guillaume,2025-06-02 19:30,9,0
Guillaume,2025-06-02 20:30,0,0
Guillaume,2025-06-02 21:30,0,0
Guillaume,2025-06-02 22:30,0,0
Guillaume,2025-06-02 23:30,0,0
