Plant Name,Time,Production (W)
Guillaume,2025-05-03 06:45,0
Guillaume,2025-05-03 07:00,12
Guillaume,2025-05-03 07:15,21
Guillaume,2025-05-03 07:30,34
Guillaume,2025-05-03 07:45,53
Guillaume,2025-05-03 08:00,65
Guillaume,2025-05-03 08:15,78
Guillaume,2025-05-03 08:30,106
Guillaume,2025-05-03 08:45,179
Guillaume,2025-05-03 09:00,370
Guillaume,2025-05-03 09:15,484
Guillaume,2025-05-03 09:30,670
Guillaume,2025-05-03 09:45,772
Guillaume,2025-05-03 10:00,783
Guillaume,2025-05-03 10:15,990
Guillaume,2025-05-03 10:30,1102
Guillaume,2025-05-03 10:45,1203
Guillaume,2025-05-03 11:00,1323
Guillaume,2025-05-03 11:15,1408
Guillaume,2025-05-03 11:30,1518
Guillaume,2025-05-03 11:45,1782
Guillaume,2025-05-03 12:00,911
Guillaume,2025-05-03 12:15,1126
Guillaume,2025-05-03 12:30,1783
Guillaume,2025-05-03 12:45,2022
Guillaume,2025-05-03 13:00,950
Guillaume,2025-05-03 13:15,1968
Guillaume,2025-05-03 13:30,1970
Guillaume,2025-05-03 13:45,1964
Guillaume,2025-05-03 14:00,1887
Guillaume,2025-05-03 14:15,1990
Guillaume,2025-05-03 14:30,1892
Guillaume,2025-05-03 14:45,784
Guillaume,2025-05-03 15:00,1922
Guillaume,2025-05-03 15:15,504
Guillaume,2025-05-03 15:30,483
Guillaume,2025-05-03 15:45,1935
Guillaume,2025-05-03 16:00,1829
Guillaume,2025-05-03 16:15,535
Guillaume,2025-05-03 16:30,237
Guillaume,2025-05-03 16:45,384
Guillaume,2025-05-03 17:00,1572
Guillaume,2025-05-03 17:15,1305
Guillaume,2025-05-03 17:30,1187
Guillaume,2025-05-03 17:45,1066
Guillaume,2025-05-03 18:00,950
Guillaume,2025-05-03 18:15,820
Guillaume,2025-05-03 18:30,713
Guillaume,2025-05-03 18:45,583
Guillaume,2025-05-03 19:00,462
Guillaume,2025-05-03 19:15,345
Guillaume,2025-05-03 19:30,237
Guillaume,2025-05-03 19:45,150
Guillaume,2025-05-03 20:00,112
Guillaume,2025-05-03 20:15,83
Guillaume,2025-05-03 20:30,54
Guillaume,2025-05-03 20:45,23
Guillaume,2025-05-03 21:00,16
Guillaume,2025-05-03 21:15,7
Guillaume,2025-05-03 21:30,0
Guillaume,2025-05-03 21:45,0
Guillaume,2025-05-03 22:00,0
