Plant Name,Time,Production (W)
Guillaume,2025-08-23 07:15,4
Guillaume,2025-08-23 07:30,18
Guillaume,2025-08-23 07:45,32
Guillaume,2025-08-23 08:00,59
Guillaume,2025-08-23 08:15,69
Guillaume,2025-08-23 08:30,84
Guillaume,2025-08-23 08:45,127
Guillaume,2025-08-23 09:00,206
Guillaume,2025-08-23 09:15,254
Guillaume,2025-08-23 09:30,480
Guillaume,2025-08-23 09:45,392
Guillaume,2025-08-23 10:00,294
Guillaume,2025-08-23 10:15,653
Guillaume,2025-08-23 10:30,1144
Guillaume,2025-08-23 10:45,1129
Guillaume,2025-08-23 11:00,1189
Guillaume,2025-08-23 11:15,1401
Guillaume,2025-08-23 11:30,1482
Guillaume,2025-08-23 11:45,1539
Guillaume,2025-08-23 12:00,1616
Guillaume,2025-08-23 12:15,1648
Guillaume,2025-08-23 12:30,1702
Guillaume,2025-08-23 12:45,1690
Guillaume,2025-08-23 13:15,1752
Guillaume,2025-08-23 13:30,1769
Guillaume,2025-08-23 13:45,1787
Guillaume,2025-08-23 14:00,1580
Guillaume,2025-08-23 14:15,1694
Guillaume,2025-08-23 14:30,1828
Guillaume,2025-08-23 14:45,1707
Guillaume,2025-08-23 15:00,1793
Guillaume,2025-08-23 15:15,1627
Guillaume,2025-08-23 15:30,1706
Guillaume,2025-08-23 15:45,1596
Guillaume,2025-08-23 16:00,1681
Guillaume,2025-08-23 16:15,1555
Guillaume,2025-08-23 16:30,986
Guillaume,2025-08-23 16:45,1066
Guillaume,2025-08-23 17:00,837
Guillaume,2025-08-23 17:15,531
Guillaume,2025-08-23 17:30,987
Guillaume,2025-08-23 17:45,798
Guillaume,2025-08-23 18:00,891
Guillaume,2025-08-23 18:15,626
Guillaume,2025-08-23 18:30,600
Guillaume,2025-08-23 18:45,695
Guillaume,2025-08-23 19:00,609
Guillaume,2025-08-23 19:15,295
Guillaume,2025-08-23 19:30,212
Guillaume,2025-08-23 19:45,171
Guillaume,2025-08-23 20:00,129
Guillaume,2025-08-23 20:15,105
Guillaume,2025-08-23 20:30,61
Guillaume,2025-08-23 20:45,29
Guillaume,2025-08-23 21:00,7
Guillaume,2025-08-23 21:15,0
Guillaume,2025-08-23 21:30,0
Guillaume,2025-08-23 21:45,0
