Plant Name,Time,Production (W)
Guillaume,2025-08-19 07:30,0
Guillaume,2025-08-19 07:45,7
Guillaume,2025-08-19 08:00,10
Guillaume,2025-08-19 08:15,20
Guillaume,2025-08-19 08:30,21
Guillaume,2025-08-19 08:45,26
Guillaume,2025-08-19 09:00,31
Guillaume,2025-08-19 09:15,37
Guillaume,2025-08-19 09:30,56
Guillaume,2025-08-19 09:45,79
Guillaume,2025-08-19 10:00,54
Guillaume,2025-08-19 10:15,68
Guillaume,2025-08-19 10:30,97
Guillaume,2025-08-19 10:45,63
Guillaume,2025-08-19 11:00,155
Guillaume,2025-08-19 11:15,181
Guillaume,2025-08-19 11:30,250
Guillaume,2025-08-19 11:45,280
Guillaume,2025-08-19 12:00,203
Guillaume,2025-08-19 12:15,279
Guillaume,2025-08-19 12:30,360
Guillaume,2025-08-19 12:45,565
Guillaume,2025-08-19 13:00,552
Guillaume,2025-08-19 13:15,1297
Guillaume,2025-08-19 13:30,1790
Guillaume,2025-08-19 13:45,1936
Guillaume,2025-08-19 14:00,295
Guillaume,2025-08-19 14:15,997
Guillaume,2025-08-19 14:30,551
Guillaume,2025-08-19 14:45,772
Guillaume,2025-08-19 15:00,837
Guillaume,2025-08-19 15:15,548
Guillaume,2025-08-19 15:30,708
Guillaume,2025-08-19 15:45,625
Guillaume,2025-08-19 16:00,530
Guillaume,2025-08-19 16:15,552
Guillaume,2025-08-19 16:30,418
Guillaume,2025-08-19 16:45,470
Guillaume,2025-08-19 17:00,207
Guillaume,2025-08-19 17:15,104
Guillaume,2025-08-19 17:30,209
Guillaume,2025-08-19 17:45,143
Guillaume,2025-08-19 18:00,152
Guillaume,2025-08-19 18:15,182
Guillaume,2025-08-19 18:30,94
Guillaume,2025-08-19 18:45,98
Guillaume,2025-08-19 19:00,104
Guillaume,2025-08-19 19:15,202
Guillaume,2025-08-19 19:30,134
Guillaume,2025-08-19 19:45,121
Guillaume,2025-08-19 20:00,54
Guillaume,2025-08-19 20:15,23
Guillaume,2025-08-19 20:30,14
Guillaume,2025-08-19 20:45,0
Guillaume,2025-08-19 21:00,0
Guillaume,2025-08-19 21:15,0
Guillaume,2025-08-19 21:30,0
