Plant Name,Time,Production (W)
Guillaume,2025-05-23 06:15,0
Guillaume,2025-05-23 06:30,12
Guillaume,2025-05-23 06:45,23
Guillaume,2025-05-23 07:00,35
Guillaume,2025-05-23 07:15,45
Guillaume,2025-05-23 07:30,54
Guillaume,2025-05-23 07:45,63
Guillaume,2025-05-23 08:00,72
Guillaume,2025-05-23 08:15,81
Guillaume,2025-05-23 08:30,95
Guillaume,2025-05-23 08:45,153
Guillaume,2025-05-23 09:00,439
Guillaume,2025-05-23 09:15,581
Guillaume,2025-05-23 09:30,725
Guillaume,2025-05-23 09:45,843
Guillaume,2025-05-23 10:00,953
Guillaume,2025-05-23 10:15,1070
Guillaume,2025-05-23 10:30,1164
Guillaume,2025-05-23 10:45,1259
Guillaume,2025-05-23 11:00,1354
Guillaume,2025-05-23 11:15,1428
Guillaume,2025-05-23 11:30,1497
Guillaume,2025-05-23 11:45,1571
Guillaume,2025-05-23 12:00,1659
Guillaume,2025-05-23 12:15,1526
Guillaume,2025-05-23 12:30,1817
Guillaume,2025-05-23 12:45,1615
Guillaume,2025-05-23 13:00,392
Guillaume,2025-05-23 13:15,1870
Guillaume,2025-05-23 13:30,1575
Guillaume,2025-05-23 13:45,1671
Guillaume,2025-05-23 14:00,1645
Guillaume,2025-05-23 14:15,1624
Guillaume,2025-05-23 14:30,1760
Guillaume,2025-05-23 14:45,1533
Guillaume,2025-05-23 15:00,1771
Guillaume,2025-05-23 15:15,999
Guillaume,2025-05-23 15:30,1894
Guillaume,2025-05-23 15:45,1455
Guillaume,2025-05-23 16:00,1467
Guillaume,2025-05-23 16:15,1703
Guillaume,2025-05-23 16:30,1649
Guillaume,2025-05-23 16:45,1408
Guillaume,2025-05-23 17:00,1262
Guillaume,2025-05-23 17:15,1441
Guillaume,2025-05-23 17:30,1280
Guillaume,2025-05-23 17:45,1125
Guillaume,2025-05-23 18:00,452
Guillaume,2025-05-23 18:15,344
Guillaume,2025-05-23 18:30,275
Guillaume,2025-05-23 18:45,625
Guillaume,2025-05-23 19:00,490
Guillaume,2025-05-23 19:15,380
Guillaume,2025-05-23 19:30,258
Guillaume,2025-05-23 19:45,174
Guillaume,2025-05-23 20:00,119
Guillaume,2025-05-23 20:15,94
Guillaume,2025-05-23 20:30,82
Guillaume,2025-05-23 20:45,63
Guillaume,2025-05-23 21:00,50
Guillaume,2025-05-23 21:15,34
Guillaume,2025-05-23 21:30,12
Guillaume,2025-05-23 21:45,3
Guillaume,2025-05-23 22:00,0
Guillaume,2025-05-23 22:15,0
