Plant Name,Time,Production (W),From Grid(+)/To Grid(-) (W)
Guillaume,2025-08-07 00:00,0,0
Guillaume,2025-08-07 01:00,0,0
Guillaume,2025-08-07 02:00,0,0
Guillaume,2025-08-07 03:00,0,0
Guillaume,2025-08-07 04:00,0,0
Guillaume,2025-08-07 05:00,0,0
Guillaume,2025-08-07 06:00,0,0
Guillaume,2025-08-07 07:00,11,0
Guillaume,2025-08-07 07:15,25,0
Guillaume,2025-08-07 07:30,36,0
Guillaume,2025-08-07 07:45,47,0
Guillaume,2025-08-07 08:00,55,0
Guillaume,2025-08-07 08:15,62,0
Guillaume,2025-08-07 08:30,73,0
Guillaume,2025-08-07 08:45,83,0
Guillaume,2025-08-07 09:00,357,0
Guillaume,2025-08-07 09:15,454,0
Guillaume,2025-08-07 09:30,576,0
Guillaume,2025-08-07 09:45,728,0
Guillaume,2025-08-07 10:00,770,0
Guillaume,2025-08-07 10:15,893,0
Guillaume,2025-08-07 10:30,1053,0
Guillaume,2025-08-07 10:45,1151,0
Guillaume,2025-08-07 11:00,1243,0
Guillaume,2025-08-07 11:15,1342,0
Guillaume,2025-08-07 11:30,1423,0
Guillaume,2025-08-07 11:45,1502,0
Guillaume,2025-08-07 12:00,1572,0
Guillaume,2025-08-07 12:15,1606,0
Guillaume,2025-08-07 12:30,1667,0
Guillaume,2025-08-07 12:45,1701,0
Guillaume,2025-08-07 13:00,1762,0
Guillaume,2025-08-07 13:15,1788,0
Guillaume,2025-08-07 13:30,1789,0
Guillaume,2025-08-07 13:45,1821,0
Guillaume,2025-08-07 14:00,1818,0
Guillaume,2025-08-07 14:15,1810,0
Guillaume,2025-08-07 14:30,1823,0
Guillaume,2025-08-07 14:45,1803,0
Guillaume,2025-08-07 15:00,1729,0
Guillaume,2025-08-07 15:15,1772,0
Guillaume,2025-08-07 15:30,1707,0
Guillaume,2025-08-07 15:45,1651,0
Guillaume,2025-08-07 16:00,1614,0
Guillaume,2025-08-07 16:15,1544,0
Guillaume,2025-08-07 16:30,1465,0
Guillaume,2025-08-07 16:45,1416,0
Guillaume,2025-08-07 17:00,1342,0
Guillaume,2025-08-07 17:15,1260,0
Guillaume,2025-08-07 17:30,1147,0
Guillaume,2025-08-07 17:45,993,0
Guillaume,2025-08-07 18:00,791,0
Guillaume,2025-08-07 18:15,766,0
Guillaume,2025-08-07 18:30,711,0
Guillaume,2025-08-07 18:45,570,0
Guillaume,2025-08-07 19:00,454,0
Guillaume,2025-08-07 19:15,340,0
Guillaume,2025-08-07 19:30,229,0
Guillaume,2025-08-07 19:45,140,0
Guillaume,2025-08-07 20:00,93,0
Guillaume,2025-08-07 20:15,74,0
Guillaume,2025-08-07 20:30,61,0
Guillaume,2025-08-07 20:45,43,0
Guillaume,2025-08-07 21:00,23,0
Guillaume,2025-08-07 22:00,0,0
Guillaume,2025-08-07 23:00,0,0
