Plant Name,Time,Production (W)
Guillaume,2025-05-18 06:15,0
Guillaume,2025-05-18 06:30,5
Guillaume,2025-05-18 06:45,19
Guillaume,2025-05-18 07:00,33
Guillaume,2025-05-18 07:15,46
Guillaume,2025-05-18 07:30,56
Guillaume,2025-05-18 07:45,67
Guillaume,2025-05-18 08:00,77
Guillaume,2025-05-18 08:15,87
Guillaume,2025-05-18 08:30,100
Guillaume,2025-05-18 08:45,174
Guillaume,2025-05-18 09:00,453
Guillaume,2025-05-18 09:15,578
Guillaume,2025-05-18 09:30,702
Guillaume,2025-05-18 09:45,822
Guillaume,2025-05-18 10:00,943
Guillaume,2025-05-18 10:15,1054
Guillaume,2025-05-18 10:30,1155
Guillaume,2025-05-18 10:45,1250
Guillaume,2025-05-18 11:00,1342
Guillaume,2025-05-18 11:15,1433
Guillaume,2025-05-18 11:30,1517
Guillaume,2025-05-18 11:45,1588
Guillaume,2025-05-18 12:00,1657
Guillaume,2025-05-18 12:15,1700
Guillaume,2025-05-18 12:30,1757
Guillaume,2025-05-18 12:45,1769
Guillaume,2025-05-18 13:00,1819
Guillaume,2025-05-18 13:15,1843
Guillaume,2025-05-18 13:30,1859
Guillaume,2025-05-18 13:45,1871
Guillaume,2025-05-18 14:00,1879
Guillaume,2025-05-18 14:15,1880
Guillaume,2025-05-18 14:30,1910
Guillaume,2025-05-18 14:45,1586
Guillaume,2025-05-18 15:00,1828
Guillaume,2025-05-18 15:15,1495
Guillaume,2025-05-18 15:30,1597
Guillaume,2025-05-18 15:45,1722
Guillaume,2025-05-18 16:00,1648
Guillaume,2025-05-18 16:15,1580
Guillaume,2025-05-18 16:30,1432
Guillaume,2025-05-18 16:45,1428
Guillaume,2025-05-18 17:00,1375
Guillaume,2025-05-18 17:15,1028
Guillaume,2025-05-18 17:30,1060
Guillaume,2025-05-18 17:45,937
Guillaume,2025-05-18 18:00,814
Guillaume,2025-05-18 18:15,680
Guillaume,2025-05-18 18:30,738
Guillaume,2025-05-18 18:45,607
Guillaume,2025-05-18 19:00,403
Guillaume,2025-05-18 19:15,322
Guillaume,2025-05-18 19:30,272
Guillaume,2025-05-18 19:45,221
Guillaume,2025-05-18 20:00,170
Guillaume,2025-05-18 20:15,132
Guillaume,2025-05-18 20:30,100
Guillaume,2025-05-18 20:45,64
Guillaume,2025-05-18 21:00,46
Guillaume,2025-05-18 21:15,24
Guillaume,2025-05-18 21:30,13
Guillaume,2025-05-18 21:45,3
Guillaume,2025-05-18 22:00,0
Guillaume,2025-05-18 22:15,0
