
Récapitulatif de mes puissances atteintes en W

Date et heure de relève par le distributeur;Puissance atteinte (W);Nature de la donnée

24/05/2025;;
00:00:00;372;Réelle
23:30:00;360;Réelle
23:00:00;358;Réelle
22:30:00;1440;Réelle
22:00:00;958;Réelle
21:30:00;250;Réelle
21:00:00;172;Réelle
20:30:00;276;Réelle
20:00:00;108;Réelle
19:30:00;46;Réelle
19:00:00;24;Réelle
18:30:00;0;Réelle
18:00:00;0;Réelle
17:30:00;0;Réelle
17:00:00;66;Réelle
16:30:00;50;Réelle
16:00:00;154;Réelle
15:30:00;38;Réelle
15:00:00;0;Réelle
14:30:00;0;Réelle
14:00:00;0;Réelle
13:30:00;2;Réelle
13:00:00;182;Réelle
12:30:00;0;Réelle
12:00:00;0;Réelle
11:30:00;0;Réelle
11:00:00;0;Réelle
10:30:00;0;Réelle
10:00:00;208;Réelle
09:30:00;486;Réelle
09:00:00;8;Réelle
08:30:00;110;Réelle
08:00:00;266;Réelle
07:30:00;132;Réelle
07:00:00;128;Réelle
06:30:00;138;Réelle
06:00:00;192;Réelle
05:30:00;176;Réelle
05:00:00;182;Réelle
04:30:00;172;Réelle
04:00:00;136;Réelle
03:30:00;170;Réelle
03:00:00;156;Réelle
02:30:00;218;Réelle
02:00:00;160;Réelle
01:30:00;182;Réelle
01:00:00;364;Réelle
00:30:00;352;Réelle

23/05/2025;;
00:00:00;412;Réelle
23:30:00;364;Réelle
23:00:00;708;Réelle
22:30:00;1992;Réelle
22:00:00;212;Réelle
21:30:00;194;Réelle
21:00:00;110;Réelle
20:30:00;142;Réelle
20:00:00;14;Réelle
19:30:00;486;Réelle
19:00:00;232;Réelle
18:30:00;0;Réelle
18:00:00;0;Réelle
17:30:00;0;Réelle
17:00:00;0;Réelle
16:30:00;0;Réelle
16:00:00;0;Réelle
15:30:00;0;Réelle
15:00:00;0;Réelle
14:30:00;0;Réelle
14:00:00;340;Réelle
13:30:00;396;Réelle
13:00:00;84;Réelle
12:30:00;470;Réelle
