
Récapitulatif de ma consommation

Date de consommation;Consommation (kWh);Nature de la donnée
15/04/2025;6;Recalculée
14/04/2025;11;Réelle
13/04/2025;9;Réelle
12/04/2025;7;Réelle
11/04/2025;5;Réelle
10/04/2025;5;Réelle
09/04/2025;6;Réelle
08/04/2025;4;Réelle
07/04/2025;7;Réelle
06/04/2025;5;Réelle
05/04/2025;3;Réelle
04/04/2025;5;Réelle
03/04/2025;7;Réelle
02/04/2025;5;Réelle
01/04/2025;5;Réelle
31/03/2025;7;Réelle
30/03/2025;4;Réelle
29/03/2025;12;Réelle
28/03/2025;7;Réelle
27/03/2025;8;Réelle
29/03/2023;0;Réelle

