datetime,production
2025-04-07 12:15:00,1748
2025-04-07 12:30:00,1805
2025-04-07 12:45:00,1850
2025-04-07 13:00:00,1877
2025-04-07 13:15:00,1900
2025-04-07 13:30:00,1928
2025-04-07 13:45:00,1938
2025-04-07 14:00:00,1945
2025-04-07 14:15:00,1941
2025-04-07 14:30:00,1931
2025-04-07 14:45:00,1916
2025-04-07 15:00:00,1880
2025-04-07 15:15:00,1846
2025-04-07 15:30:00,1809
2025-04-07 15:45:00,1764
2025-04-07 16:00:00,1701
2025-04-07 16:15:00,1645
2025-04-07 16:30:00,1571
2025-04-07 16:45:00,1492
2025-04-07 17:00:00,1398
2025-04-07 17:15:00,1302
2025-04-07 17:30:00,1200
2025-04-07 17:45:00,1090
2025-04-07 18:00:00,973
2025-04-07 18:15:00,851
2025-04-07 18:30:00,722
2025-04-07 18:45:00,591
2025-04-07 19:00:00,457
2025-04-07 19:15:00,330
2025-04-07 19:30:00,214
2025-04-07 19:45:00,124
2025-04-07 20:00:00,69
2025-04-07 20:15:00,43
2025-04-07 20:30:00,21
2025-04-07 20:45:00,6
2025-04-07 21:00:00,0
2025-04-07 21:15:00,0
2025-03-28 06:45:00,0
2025-03-28 07:00:00,6
2025-03-28 07:15:00,35
2025-03-28 07:30:00,57
2025-03-28 07:45:00,80
2025-03-28 08:00:00,104
2025-03-28 08:15:00,174
2025-03-28 08:30:00,182
2025-03-28 08:45:00,241
2025-03-28 09:00:00,503
2025-03-28 09:15:00,458
2025-03-28 09:30:00,390
2025-03-28 09:45:00,557
2025-03-28 10:00:00,426
2025-03-28 10:15:00,361
2025-03-28 10:30:00,359
2025-03-28 10:45:00,211
2025-03-28 11:00:00,213
2025-03-28 11:15:00,366
2025-03-28 11:30:00,218
2025-03-28 11:45:00,130
2025-03-28 12:00:00,145
2025-03-28 12:15:00,180
2025-03-28 12:30:00,211
2025-03-28 12:45:00,218
2025-03-28 13:00:00,606
2025-03-28 13:15:00,906
2025-03-28 13:30:00,663
2025-03-28 13:45:00,297
2025-03-28 14:00:00,375
2025-03-28 14:15:00,258
2025-03-28 14:30:00,111
2025-03-28 14:45:00,670
2025-03-28 15:00:00,2000
2025-03-28 15:15:00,932
2025-03-28 15:30:00,575
2025-03-28 15:45:00,707
2025-03-28 16:00:00,315
2025-03-28 16:15:00,1424
2025-03-28 16:30:00,1361
2025-03-28 16:45:00,304
2025-03-28 17:00:00,1162
2025-03-28 17:15:00,1062
2025-03-28 17:30:00,846
2025-03-28 17:45:00,630
2025-03-28 18:00:00,315
2025-03-28 18:15:00,452
2025-03-28 18:30:00,230
2025-03-28 18:45:00,192
2025-03-28 19:00:00,48
2025-03-28 19:15:00,18
2025-03-28 19:30:00,6
2025-03-28 19:45:00,0
2025-03-28 20:00:00,0
2025-04-04 07:45:00,10
2025-04-04 08:00:00,24
2025-04-04 08:15:00,46
2025-04-04 08:30:00,82
2025-04-04 08:45:00,132
2025-04-04 09:00:00,177
2025-04-04 09:15:00,209
2025-04-04 09:30:00,163
2025-04-04 09:45:00,181
2025-04-04 10:00:00,187
2025-04-04 10:15:00,442
2025-04-04 10:30:00,238
2025-04-04 10:45:00,299
2025-04-04 11:00:00,520
2025-04-04 11:15:00,599
2025-04-04 11:30:00,891
2025-04-04 11:45:00,1606
2025-04-04 12:00:00,1594
2025-04-04 12:15:00,1617
2025-04-04 12:30:00,1601
2025-04-04 12:45:00,1795
2025-04-04 13:00:00,1901
2025-04-04 13:15:00,1252
2025-04-04 13:30:00,1454
2025-04-04 13:45:00,1275
